disease	tissue	annotation	Coefficient_z-score	p_value	FDR_q
scz	dlpfc	ANNOT_Q2L2_1	-0.6584692069789548	0.5102366775155984	0.9800258925572117
scz	dlpfc	ANNOT_Q3L2_1	0.3086726822312523	0.7575705261420116	0.9800258925572117
scz	dlpfc	ANNOT_Q4L2_1	-2.79189123037824	0.005240096750655621	0.15720290251966862
scz	dlpfc	ANNOT_Q5L2_1	-0.0400548447543123	0.9680494015534418	0.9844570185289239
ad	caudate	ANNOT_Q1L2_1	-0.0536360274353655	0.9572251520699961	0.9844570185289239
ad	caudate	ANNOT_Q2L2_1	1.232392328190176	0.21780256533231723	0.8167596199961896
ad	caudate	ANNOT_Q3L2_1	-2.611145567570538	0.009023947355726092	0.18047894711452184
ad	caudate	ANNOT_Q4L2_1	-0.1583856453389668	0.8741529243657027	0.9800258925572117
ad	caudate	ANNOT_Q5L2_1	-0.1484048112349877	0.8820233033014906	0.9800258925572117
ad	hippocampus	ANNOT_Q1L2_1	-0.5477622432214562	0.5838551670753036	0.9800258925572117
ad	hippocampus	ANNOT_Q2L2_1	0.1830569196056802	0.8547533577001503	0.9800258925572117
ad	hippocampus	ANNOT_Q3L2_1	-0.9142903398530472	0.3605643052065233	0.9757053441722481
ad	hippocampus	ANNOT_Q4L2_1	-1.2711648193609852	0.2036700193901222	0.8146800775604888
ad	hippocampus	ANNOT_Q5L2_1	-0.4276783595933461	0.6688853073166199	0.9800258925572117
ad	dlpfc	ANNOT_Q1L2_1	0.6916464532102897	0.48915938170219553	0.9783187634043911
ad	dlpfc	ANNOT_Q2L2_1	0.300497970253706	0.7637973444342494	0.9800258925572117
ad	dlpfc	ANNOT_Q3L2_1	-1.818999340421484	0.06891153070654665	0.5906702631989713
ad	dlpfc	ANNOT_Q4L2_1	-1.3617407780486797	0.17327970725297992	0.8146800775604888
ad	dlpfc	ANNOT_Q5L2_1	-1.5037163271375178	0.1326544234226692	0.737520662010194
smoking	caudate	ANNOT_Q1L2_1	-0.5711561365292076	0.5678938085735443	0.9800258925572117
smoking	caudate	ANNOT_Q2L2_1	-0.5140017372066942	0.6072507760985282	0.9800258925572117
smoking	caudate	ANNOT_Q3L2_1	-0.7750548956187964	0.43830722230551467	0.9757053441722481
smoking	caudate	ANNOT_Q4L2_1	-0.4417551421132308	0.6586664023302116	0.9800258925572117
smoking	caudate	ANNOT_Q5L2_1	0.8241032770581287	0.4098808782895591	0.9757053441722481
smoking	hippocampus	ANNOT_Q1L2_1	0.5966309293418918	0.5507538166272516	0.9800258925572117
smoking	hippocampus	ANNOT_Q2L2_1	-3.0844627429363216	0.002039201490626308	0.12235208943757847
smoking	hippocampus	ANNOT_Q3L2_1	-0.7293126384867268	0.46581044303535823	0.9757053441722481
smoking	hippocampus	ANNOT_Q4L2_1	0.2348389217193883	0.8143337571973188	0.9800258925572117
smoking	hippocampus	ANNOT_Q5L2_1	-0.7620061442764675	0.4460563370449422	0.9757053441722481
smoking	dlpfc	ANNOT_Q1L2_1	0.1572894860522218	0.8750167060369314	0.9800258925572117
smoking	dlpfc	ANNOT_Q2L2_1	-2.4714994962787187	0.013454774082966692	0.20182161124450038
smoking	dlpfc	ANNOT_Q3L2_1	-1.2789671404986165	0.20090862744852855	0.8146800775604888
smoking	dlpfc	ANNOT_Q4L2_1	-0.3941588626607606	0.6934637551102123	0.9800258925572117
smoking	dlpfc	ANNOT_Q5L2_1	-0.7198929381501655	0.4715909163499199	0.9757053441722481
