h2_quintile	n	n_in_peak	frac	h2_median	ci_lo	ci_hi	cell_type	tissue
Q4	407	142	0.348894348894349	0.14675887418607	0.304176575558165	0.396437864977931	Oligo	Hippocampus
Q5	407	62	0.152334152334152	0.442631018853314	0.120536143072118	0.190633667267029	Oligo	Hippocampus
Q1	407	195	0.479115479115479	0.0636513016178634	0.43100388940175	0.527617618639824	OPC	Hippocampus
Q2	407	173	0.425061425061425	0.0906508442099526	0.377949734559509	0.473574500177905	OPC	Hippocampus
Q3	406	179	0.440886699507389	0.112209959893779	0.393366690434279	0.489514850788714	OPC	Hippocampus
Q4	407	155	0.380835380835381	0.14675887418607	0.334968198588304	0.428930994354796	OPC	Hippocampus
Q5	407	82	0.201474201474201	0.442631018853314	0.16528093159935	0.243250036289035	OPC	Hippocampus
Q1	407	130	0.319410319410319	0.0636513016178634	0.275951382518052	0.366246363488502	Endo	Hippocampus
Q2	407	126	0.30958230958231	0.0906508442099526	0.266587349943816	0.35613816455289	Endo	Hippocampus
Q3	406	129	0.317733990147783	0.112209959893779	0.274301616519281	0.364583135584947	Endo	Hippocampus
Q4	407	117	0.287469287469287	0.14675887418607	0.24560363432783	0.33330935927172	Endo	Hippocampus
Q5	407	62	0.152334152334152	0.442631018853314	0.120536143072118	0.190633667267029	Endo	Hippocampus
Q1	407	94	0.230958230958231	0.0636513016178634	0.192567214858788	0.274380447559139	Micro	Hippocampus
Q2	407	102	0.250614250614251	0.0906508442099526	0.210912045185628	0.294980080251994	Micro	Hippocampus
Q3	406	103	0.253694581280788	0.112209959893779	0.213751102659527	0.298255319102943	Micro	Hippocampus
Q4	407	92	0.226044226044226	0.14675887418607	0.187999535980353	0.26921201068265	Micro	Hippocampus
Q5	407	72	0.176904176904177	0.442631018853314	0.142781620965885	0.217068768147881	Micro	Hippocampus
Q1	1229	943	0.767290480065094	0.0585680617117	0.742840800279667	0.790074438171569	Union	Pooled
Q2	1229	918	0.746948738812042	0.0856120503816511	0.721886347493793	0.770472175702402	Union	Pooled
Q3	1229	914	0.743694060211554	0.109351085546778	0.718540247327511	0.767329201427878	Union	Pooled
Q4	1229	833	0.677786818551668	0.15030381726079	0.651134790252539	0.703330901076518	Union	Pooled
Q5	1229	390	0.3173311635476	0.520439426615117	0.291906900533123	0.343893796476611	Union	Pooled
Q1	1229	527	0.428803905614321	0.0585680617117	0.401398068348003	0.456653428259354	Exc	Pooled
Q2	1229	505	0.410903173311635	0.0856120503816511	0.383714385422531	0.43864720176039	Exc	Pooled
Q3	1229	485	0.394629780309195	0.109351085546778	0.367670672427842	0.422245542551047	Exc	Pooled
Q4	1229	439	0.35720097640358	0.15030381726079	0.330890719755669	0.384401139153944	Exc	Pooled
Q5	1229	207	0.168429617575264	0.520439426615117	0.148521107049589	0.190404434293246	Exc	Pooled
Q1	1229	482	0.392188771358828	0.0585680617117	0.365266811484194	0.41978259766409	Inh	Pooled
Q2	1229	463	0.376729048006509	0.0856120503816511	0.350058940346297	0.404167365208156	Inh	Pooled
Q3	1229	440	0.358014646053702	0.109351085546778	0.331688448178845	0.38522567934097	Inh	Pooled
Q4	1229	411	0.334418226200163	0.15030381726079	0.308588664310965	0.361279673513003	Inh	Pooled
Q5	1229	152	0.123677786818552	0.520439426615117	0.106398930946174	0.143301836835571	Inh	Pooled
Q1	1229	566	0.460537021969081	0.0585680617117	0.432836211904005	0.488483760501216	Astro	Pooled
Q2	1229	574	0.467046379170057	0.0856120503816511	0.439299068084136	0.494999053202698	Astro	Pooled
Q3	1229	549	0.446704637917006	0.109351085546778	0.419118417929736	0.474622988102057	Astro	Pooled
Q4	1229	475	0.386493083807974	0.15030381726079	0.359660566648057	0.414032962228815	Astro	Pooled
Q5	1229	165	0.134255492270138	0.520439426615117	0.116296384603381	0.154493875110986	Astro	Pooled
Q1	1229	589	0.479251423921888	0.0585680617117	0.451429668460452	0.507202481979407	Oligo	Pooled
Q2	1229	549	0.446704637917006	0.0856120503816511	0.419118417929736	0.474622988102057	Oligo	Pooled
Q3	1229	548	0.445890968266884	0.109351085546778	0.418312159558773	0.473806977862819	Oligo	Pooled
Q4	1229	453	0.368592351505289	0.15030381726079	0.342066449964958	0.395937169487479	Oligo	Pooled
Q5	1229	142	0.115541090317331	0.520439426615117	0.0988145406990669	0.134663540980662	Oligo	Pooled
Q1	1229	665	0.541090317331164	0.0585680617117	0.513145803533745	0.568778761281437	OPC	Pooled
Q2	1229	605	0.492270138323841	0.0856120503816511	0.464387240450742	0.520201207752342	OPC	Pooled
Q3	1229	600	0.48820179007323	0.109351085546778	0.460335976981645	0.516141128170431	OPC	Pooled
Q4	1229	518	0.421480878763222	0.15030381726079	0.394159369376238	0.449291709739305	OPC	Pooled
Q5	1229	172	0.139951179820993	0.520439426615117	0.121642092706856	0.160504047278922	OPC	Pooled
Q1	1229	470	0.382424735557364	0.0585680617117	0.355658488688078	0.409923697137786	Endo	Pooled
Q2	1229	413	0.336045565500407	0.0856120503816511	0.310179436336351	0.362933438708021	Endo	Pooled
Q3	1229	412	0.335231895850285	0.109351085546778	0.309384006734982	0.362106599699187	Endo	Pooled
Q4	1229	385	0.313262815296989	0.15030381726079	0.287940900875975	0.339748453082751	Endo	Pooled
Q5	1229	126	0.102522375915378	0.520439426615117	0.0867383948431998	0.120783389073303	Endo	Pooled
Q1	1229	353	0.287225386493084	0.0585680617117	0.262613995219087	0.313162763213186	Micro	Pooled
Q2	1229	317	0.25793327908869	0.0856120503816511	0.234242947143993	0.283132141321022	Micro	Pooled
Q3	1229	309	0.251423921887714	0.109351085546778	0.227957004137286	0.276439935446116	Micro	Pooled
Q4	1229	310	0.252237591537836	0.15030381726079	0.228742358343028	0.277276849850575	Micro	Pooled
Q5	1229	155	0.126118795768918	0.520439426615117	0.108679306563109	0.145888267049241	Micro	Pooled
