category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	3/7	50/9378	0.06	80.3828571428571	15.3817400833141	4.9174636877154e-06	3.44222458140078e-05	1.20779809873711e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	3/7	54/9378	0.0555555555555556	74.4285714285714	14.7893414389907	6.21511398878547e-06	3.72906839327128e-05	1.30844505027062e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	3/7	66/9378	0.0454545454545455	60.8961038961039	13.3455681271849	1.14219272619741e-05	5.99651181253642e-05	2.10403923246892e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	3/7	70/9378	0.0428571428571429	57.4163265306123	12.9483266243049	1.36458276309452e-05	6.36805289444108e-05	2.23440452436529e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	3/7	78/9378	0.0384615384615385	51.5274725274725	12.2467657442796	1.89158454149966e-05	7.94465507429859e-05	2.78759827168372e-05	3117/3119/3123	3	Pooled_Q5
Organismal Systems	Immune system	hsa04612	Antigen processing and presentation	3/7	82/9378	0.0365853658536585	49.01393728223	11.9347739744735	2.19916076595994e-05	8.39679565184706e-05	2.94624408836739e-05	3117/3119/3123	3	Pooled_Q5
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	3/7	93/9378	0.032258064516129	43.2165898617512	11.1820564047118	3.21102053806747e-05	0.000110583836379987	3.88013460982411e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	3/7	95/9378	0.0315789473684211	42.3067669172932	11.0592796646824	3.42283303080912e-05	0.000110583836379987	3.88013460982411e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	3/7	99/9378	0.0303030303030303	40.5974025974026	10.8248457915288	3.87369111519831e-05	0.000111781885581294	3.92217142390507e-05	3117/3119/3123	3	Pooled_Q5
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	3/7	100/9378	0.03	40.1914285714286	10.7684183460713	3.99221019933194e-05	0.000111781885581294	3.92217142390507e-05	3117/3119/3123	3	Pooled_Q5
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	3/7	109/9378	0.0275229357798165	36.872870249017	10.2955829895045	5.16805440819989e-05	0.000135661428215247	4.76005011281569e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	3/7	112/9378	0.0267857142857143	35.8852040816327	10.1506099657966	5.60540345513878e-05	0.000138486438303429	4.85917327380451e-05	3117/3119/3123	3	Pooled_Q5
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	3/7	143/9378	0.020979020979021	28.1058941058941	8.92691326757446	0.000116191256447944	0.000271112931711868	9.51273444603047e-05	3117/3119/3123	3	Pooled_Q5
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	3/7	155/9378	0.0193548387096774	25.9299539170507	8.55340880860421	0.000147635307810416	0.000326351733054604	0.000114509380019159	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	3/7	173/9378	0.0173410404624277	23.2320396366639	8.06637619042627	0.000204498093069418	0.000429445995445779	0.000150682805419571	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	3/7	180/9378	0.0166666666666667	22.3285714285714	7.89658522132449	0.000229974840794553	0.000446297987207297	0.000156595784985016	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	3/7	181/9378	0.0165745856353591	22.2052091554854	7.87311805676567	0.000233775136156203	0.000446297987207297	0.000156595784985016	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	3/7	205/9378	0.0146341463414634	19.605574912892	7.36126304799651	0.000337674006705889	0.000616622099202057	0.000216358631298967	3117/3119/3123	3	Pooled_Q5
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	3/7	224/9378	0.0133928571428571	17.9426020408163	7.01433775369747	0.000438375788769936	0.000767157630347388	0.000269178115911364	3117/3119/3123	3	Pooled_Q5
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	8/85	93/9378	0.0860215053763441	9.49070208728653	7.86968910279702	1.77658335776139e-06	0.000383742005276461	0.000317914916652039	3117/3119/3123/3561/55534/5595/4772/4792	8	Pooled_Q1Q4
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	10/85	224/9378	0.0446428571428571	4.92542016806723	5.6868026467041	3.23039613989306e-05	0.00348882783108451	0.00289035444095695	1026/2114/3117/3119/3123/3561/5595/4487/4772/4792	10	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	7/85	109/9378	0.0642201834862385	7.08537506745818	6.11149711351001	5.53118765988402e-05	0.0039824551151165	0.00329930491993082	3117/3119/3123/3561/5595/4772/4792	7	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	5/85	66/9378	0.0757575757575758	8.35828877005348	5.73707812253953	0.000314603055389028	0.0169885649910075	0.0140743472147723	3117/3119/3123/3561/4772	5	Pooled_Q1Q4
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	5/85	78/9378	0.0641025641025641	7.07239819004525	5.15026435777129	0.000682650205877171	0.0294904888938938	0.0244316915787619	3117/3119/3123/5595/4792	5	Pooled_Q1Q4
