model	estimate	se	p	n_linked	n_background	tag	role	category	sample_size	binary	ancestry	region	locus_rule	n_sig_variants	n_leads	n_leads_with_vmr	n_vmrs	frac_vmrs_linked	in_distribution	q	cohort	tier	module_09_run_id
A_technical	-0.00152412816212314	0.0394525489606288	0.969183843770158	811	8323	Astle_et_al_2016_Sum_basophil_neutrophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	13875	172	165	9166	0.0887891394788702	TRUE	0.969183843770158	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	0.0171581015613756	0.03996240737358	0.667664129432391	811	8323	Astle_et_al_2016_Sum_basophil_neutrophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	13875	172	165	9166	0.0887891394788702	TRUE	0.826878324166334	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.150130487749991	0.0361319483653011	3.25199264893205e-05	1250	9954	Astle_et_al_2016_Sum_eosinophil_basophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	22088	197	177	11251	0.111567297393788	TRUE	0.000185772026384987	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.14160110446639	0.0363870404186329	9.96158177835595e-05	1250	9954	Astle_et_al_2016_Sum_eosinophil_basophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	22088	197	177	11251	0.111567297393788	TRUE	0.000482753578489558	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.160934568073443	0.0379163495309309	2.19116862491773e-05	918	8296	Astle_et_al_2016_Sum_eosinophil_basophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	22088	197	178	9251	0.0996309963099631	TRUE	0.000460145411232723	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.149459656740251	0.0383805954476509	9.85451327950263e-05	918	8296	Astle_et_al_2016_Sum_eosinophil_basophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	22088	197	178	9251	0.0996309963099631	TRUE	0.00206944778869555	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.119422447431495	0.0386673467953523	0.00201198640682138	870	8264	Astle_et_al_2016_Sum_eosinophil_basophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	22088	197	183	9166	0.095248522005693	TRUE	0.0142609160629445	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.114673337615282	0.0390346805423281	0.00330625221327308	870	8264	Astle_et_al_2016_Sum_eosinophil_basophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	22088	197	183	9166	0.095248522005693	TRUE	0.0260367361795255	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.0488562721899992	0.0372106533136761	0.189194862107165	1137	10067	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	11716	171	161	11251	0.10148161370939	TRUE	0.304186915611169	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0296729071162396	0.0374695933510252	0.428407530670155	1137	10067	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	11716	171	161	11251	0.10148161370939	TRUE	0.613401691641358	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.046223347628754	0.0392196588234024	0.238567063027444	836	8378	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	11716	171	163	9251	0.0907314955502496	TRUE	0.435198759603729	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0303447111579365	0.0397638345499669	0.445389827839663	836	8378	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	11716	171	163	9251	0.0907314955502496	TRUE	0.665157223282829	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.0362581153603912	0.039475326418722	0.35835678718188	804	8330	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	11716	171	164	9166	0.0880227720604336	TRUE	0.578884040832267	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	-0.0145344344347704	0.040007575596598	0.716386726197068	804	8330	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	11716	171	164	9166	0.0880227720604336	TRUE	0.835784513896579	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	-0.110959460858859	0.0353964980268501	0.00171995844015513	1246	9958	Astle_et_al_2016_White_blood_cell_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	14782	194	181	11251	0.111210282042128	TRUE	0.00637396363116313	AA	descriptive_only	scz-AA-caudate-20260918
B_technical_context	-0.0930582545295557	0.0356928711598534	0.0091287511190906	1246	9958	Astle_et_al_2016_White_blood_cell_count	negative_control	Blood	173480	FALSE		caudate	uniform_lead_snp	14782	194	181	11251	0.111210282042128	TRUE	0.0323023619529805	AA	descriptive_only	scz-AA-caudate-20260918
A_technical	-0.0503885047112305	0.0370000774113008	0.173245660986368	942	8272	Astle_et_al_2016_White_blood_cell_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	14782	194	182	9251	0.102235728239635	TRUE	0.363347986751355	AA	claim_eligible	scz-AA-dlpfc-20260918
B_technical_context	-0.0364940407975059	0.0375249315067104	0.330788018904077	942	8272	Astle_et_al_2016_White_blood_cell_count	negative_control	Blood	173480	FALSE		dlpfc	uniform_lead_snp	14782	194	182	9251	0.102235728239635	TRUE	0.595418434027338	AA	claim_eligible	scz-AA-dlpfc-20260918
A_technical	-0.013906247753364	0.0371732106962789	0.708334929410894	921	8213	Astle_et_al_2016_White_blood_cell_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	14782	194	184	9166	0.100832056054303	TRUE	0.841983029299742	AA	claim_eligible	scz-AA-hippocampus-20260918
B_technical_context	0.0048083262738049	0.0376596421183092	0.898403412526866	921	8213	Astle_et_al_2016_White_blood_cell_count	negative_control	Blood	173480	FALSE		hippocampus	uniform_lead_snp	14782	194	184	9166	0.100832056054303	TRUE	0.959312118460891	AA	claim_eligible	scz-AA-hippocampus-20260918
A_technical	0.00880155674107746	0.0929242641698312	0.924539193978062	168	11036	BCAC_ER_negative_BreastCancer_EUR	negative_control	Cancer	120000	TRUE		caudate	uniform_lead_snp	4664	49	36	11251	0.0149946447697251	TRUE	0.959361029858236	AA	descriptive_only	scz-AA-caudate-20260918
