region	annotation	adjustment	arm	category	n_traits	median_estimate	n_positive_q_below_alpha	n_negative_q_below_alpha	cohort	tier
caudate	snp_proximal_any	technical_score	all_vmrs	Cancer	2	-0.163658458769177	0	0	AA	descriptive_only
caudate	cell_composition_r2	technical	all_vmrs	Cancer	2	-0.0814234026437567	0	0	AA	descriptive_only
caudate	cell_composition_r2	technical_score	all_vmrs	Cancer	2	-0.0915889290517733	0	0	AA	descriptive_only
dlpfc	line_l1_any	technical	all_vmrs	Cancer	2	0.109562721246479	0	0	AA	claim_eligible
dlpfc	line_l1_any	technical_score	all_vmrs	Cancer	2	0.137177935900151	0	0	AA	claim_eligible
dlpfc	line_l1_any	technical	high_mappability	Cancer	2	-0.0768189639918809	0	0	AA	claim_eligible
dlpfc	line_l1_any	technical_score	high_mappability	Cancer	2	-0.0608224314675276	0	0	AA	claim_eligible
dlpfc	h3k9me3_any	technical	all_vmrs	Cancer	2	-0.401305267233455	0	0	AA	claim_eligible
dlpfc	h3k9me3_any	technical_score	all_vmrs	Cancer	2	-0.389473314400774	0	0	AA	claim_eligible
dlpfc	h3k9me3_any	technical	high_mappability	Cancer	2	-0.264134628020362	0	0	AA	claim_eligible
dlpfc	h3k9me3_any	technical_score	high_mappability	Cancer	2	-0.251919974334914	0	0	AA	claim_eligible
dlpfc	quiescent_any	technical	all_vmrs	Cancer	2	-0.474004359325017	0	1	AA	claim_eligible
dlpfc	quiescent_any	technical_score	all_vmrs	Cancer	2	-0.47245762480237	0	1	AA	claim_eligible
dlpfc	quiescent_any	technical	high_mappability	Cancer	2	-0.414577428334934	0	0	AA	claim_eligible
dlpfc	quiescent_any	technical_score	high_mappability	Cancer	2	-0.405061033311322	0	0	AA	claim_eligible
dlpfc	h3k27me3_any	technical	all_vmrs	Cancer	2	-0.0489561659754003	0	0	AA	claim_eligible
dlpfc	h3k27me3_any	technical_score	all_vmrs	Cancer	2	-0.0488681066974983	0	0	AA	claim_eligible
dlpfc	bivalent_any	technical	all_vmrs	Cancer	2	-0.30433424011721	0	0	AA	claim_eligible
dlpfc	bivalent_any	technical_score	all_vmrs	Cancer	2	-0.31019352340488	0	0	AA	claim_eligible
dlpfc	accessible_any	technical	all_vmrs	Cancer	2	0.125195283515437	0	0	AA	claim_eligible
dlpfc	accessible_any	technical_score	all_vmrs	Cancer	2	0.113212035992089	0	0	AA	claim_eligible
dlpfc	h3k27ac_any	technical	all_vmrs	Cancer	2	-0.0822093989926259	0	0	AA	claim_eligible
dlpfc	h3k27ac_any	technical_score	all_vmrs	Cancer	2	-0.10530920898413	0	0	AA	claim_eligible
dlpfc	segdup_any	technical	all_vmrs	Cancer	2	0.138179755276066	0	0	AA	claim_eligible
dlpfc	segdup_any	technical_score	all_vmrs	Cancer	2	0.117300624807933	0	0	AA	claim_eligible
dlpfc	segdup_any	technical	high_mappability	Cancer	2	1.67851451957421	1	0	AA	claim_eligible
dlpfc	segdup_any	technical_score	high_mappability	Cancer	2	1.66732580864634	0	0	AA	claim_eligible
dlpfc	snp_proximal_any	technical	all_vmrs	Cancer	2	-0.53907419085219	0	1	AA	claim_eligible
dlpfc	snp_proximal_any	technical_score	all_vmrs	Cancer	2	-0.532597111299995	0	0	AA	claim_eligible
dlpfc	cell_composition_r2	technical	all_vmrs	Cancer	2	0.081467916421189	0	0	AA	claim_eligible
dlpfc	cell_composition_r2	technical_score	all_vmrs	Cancer	2	0.0716631405791499	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical	all_vmrs	Cancer	2	0.192439722833577	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical_score	all_vmrs	Cancer	2	0.210943824873249	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical	high_mappability	Cancer	2	-0.0947610697795202	0	0	AA	claim_eligible
hippocampus	line_l1_any	technical_score	high_mappability	Cancer	2	-0.046470529043046	0	0	AA	claim_eligible
hippocampus	h3k9me3_any	technical	all_vmrs	Cancer	2	-0.0263309629775608	0	0	AA	claim_eligible
hippocampus	h3k9me3_any	technical_score	all_vmrs	Cancer	2	-0.0181459649907099	0	0	AA	claim_eligible
hippocampus	h3k9me3_any	technical	high_mappability	Cancer	2	-0.136830079801555	0	0	AA	claim_eligible
hippocampus	h3k9me3_any	technical_score	high_mappability	Cancer	2	-0.0997365944804391	0	0	AA	claim_eligible
hippocampus	quiescent_any	technical	all_vmrs	Cancer	2	-0.242424000121665	0	0	AA	claim_eligible
hippocampus	quiescent_any	technical_score	all_vmrs	Cancer	2	-0.24048545812108	0	0	AA	claim_eligible
hippocampus	quiescent_any	technical	high_mappability	Cancer	2	-0.208593990322949	0	0	AA	claim_eligible
hippocampus	quiescent_any	technical_score	high_mappability	Cancer	2	-0.158074090205969	0	0	AA	claim_eligible
hippocampus	h3k27me3_any	technical	all_vmrs	Cancer	2	-0.159836027869457	0	0	AA	claim_eligible
hippocampus	h3k27me3_any	technical_score	all_vmrs	Cancer	2	-0.161248548651852	0	0	AA	claim_eligible
hippocampus	bivalent_any	technical	all_vmrs	Cancer	2	-0.317936401361881	0	0	AA	claim_eligible
hippocampus	bivalent_any	technical_score	all_vmrs	Cancer	2	-0.325376473002907	0	0	AA	claim_eligible
hippocampus	accessible_any	technical	all_vmrs	Cancer	2	0.175098966157874	0	0	AA	claim_eligible
hippocampus	accessible_any	technical_score	all_vmrs	Cancer	2	0.174512891412686	0	0	AA	claim_eligible
hippocampus	h3k27ac_any	technical	all_vmrs	Cancer	2	0.0778238139143228	0	0	AA	claim_eligible
hippocampus	h3k27ac_any	technical_score	all_vmrs	Cancer	2	0.0712914571114369	0	0	AA	claim_eligible
