Tissue	h2_Category	OR	PValue	FDR	Annotation
Hippocampus	Heritable	1.1557025822389118	0.0005108922582804877	0.001532676774841463	hg38_cpg_inter
Hippocampus	Heritable	1.321785824251712	3.1032518307654856e-08	3.7239021969185827e-07	hg38_genes_intergenic
Hippocampus	Heritable	0.9144360229698337	0.04133440952841531	0.055112546037887074	hg38_genes_1to5kb
Hippocampus	Heritable	0.820864991586071	5.287289361213967e-06	2.114915744485587e-05	hg38_genes_introns
Hippocampus	Heritable	0.8738911819887429	0.0019206771211524498	0.004609625090765879	hg38_cpg_shores
Hippocampus	Heritable	0.9007485724945544	0.02257772449603411	0.0387046705646299	hg38_genes_exons
Hippocampus	Heritable	0.9619900985882072	0.544452983771277	0.5939487095686659	hg38_cpg_islands
Hippocampus	Heritable	0.8483961220638948	0.01984483009001259	0.0387046705646299	hg38_enhancers_fantom
Hippocampus	Heritable	0.9209261286308262	0.2726923870075795	0.3272308644090954	hg38_cpg_shelves
Hippocampus	Heritable	0.6742152884239637	3.560706377316383e-06	2.114915744485587e-05	hg38_genes_5UTRs
Hippocampus	Heritable	0.8315726635123614	0.03866724882092207	0.055112546037887074	hg38_genes_3UTRs
Hippocampus	Non-heritable	1.0216244318406573	0.6665007089508919	0.727091682491882	hg38_genes_promoters
Hippocampus	Non-heritable	0.8665295766827134	0.00058997161544995	0.00176991484634985	hg38_cpg_inter
Hippocampus	Non-heritable	0.7315939889469302	6.019723506347594e-10	7.223668207617113e-09	hg38_genes_intergenic
Hippocampus	Non-heritable	1.1042965020576132	0.0237363623932607	0.031648483191014265	hg38_genes_1to5kb
Hippocampus	Non-heritable	1.2517913414684705	2.4389495326139227e-07	1.4633697195683536e-06	hg38_genes_introns
Hippocampus	Non-heritable	1.1521251127953018	0.0011269210994729474	0.0027046106387350736	hg38_cpg_shores
Hippocampus	Non-heritable	1.1139163341990879	0.0187310380880977	0.031648483191014265	hg38_genes_exons
Hippocampus	Non-heritable	0.9998241565736411	1.0	1.0	hg38_cpg_islands
Hippocampus	Non-heritable	1.176174769631262	0.021680851675504438	0.031648483191014265	hg38_enhancers_fantom
Hippocampus	Non-heritable	1.0875238319513443	0.2567281354740114	0.3080737625688137	hg38_cpg_shelves
Hippocampus	Non-heritable	1.4979703283252854	1.8787162059569517e-06	7.514864823827807e-06	hg38_genes_5UTRs
Hippocampus	Non-heritable	1.2231453671559769	0.02210077038721138	0.031648483191014265	hg38_genes_3UTRs
Hippocampus	Low prediction	0.8442782011980763	0.8497470959633306	0.9269968319599972	hg38_genes_promoters
Hippocampus	Low prediction	0.9019888722803521	0.7444991506904048	0.9269968319599972	hg38_cpg_inter
Hippocampus	Low prediction	4.453867584398558	5.791068819367801e-06	3.474641291620681e-05	hg38_genes_intergenic
Hippocampus	Low prediction	0.490558818663137	0.08480085203604582	0.25440255610813745	hg38_genes_1to5kb
Hippocampus	Low prediction	0.21542087542087543	3.5352585063698085e-06	3.474641291620681e-05	hg38_genes_introns
Hippocampus	Low prediction	0.6332380952380953	0.3020905342533473	0.6041810685066946	hg38_cpg_shores
