tissue	comparison	annotation	estimate	std_error	z_value	p_value	or	ci_lo_log	ci_hi_log	ci_lo_or	ci_hi_or	n_vmrs	n_in_peak	fdr
DLPFC	All_VMRs	MIR	-0.736412890231685	0.248320348640449	-2.96557609661688	0.00302116593459227	0.478828448779039	-1.23184791091274	-0.257788330880892	0.291752945786244	0.772758783967964	9522	1228	0.00517914160215818
DLPFC	Intergenic_VMRs	MIR	-0.941019528985992	0.474159923585979	-1.98460367942791	0.0471885826623874	0.390229781905634	-1.90008288364383	-0.037422422137645	0.149556222944203	0.963269143183264	2021	241	0.0676134915759581
DLPFC	All_VMRs	ERV1	1.77788051600751	0.282950115237684	6.2833708850553	3.31309382380125e-10	5.91730149251653	1.21280243445908	2.32306278731242	3.362895754336	10.2068880082984	9522	496	1.21420437148644e-09
DLPFC	Intergenic_VMRs	ERV1	1.29549548478686	0.460604131722081	2.81260065979724	0.00491426396186539	3.65280543534657	0.372114803973264	2.18151697815717	1.45079952928316	8.8597360958964	2021	176	0.00827665509366802
DLPFC	All_VMRs	ERVL	2.17127113158215	0.352652588314839	6.15696921992726	7.41502533074899e-10	8.76942405089982	1.46410936517607	2.84865788248878	4.32369069544886	17.2645951689288	9522	244	2.45462907500656e-09
DLPFC	Intergenic_VMRs	ERVL	1.9522625812004	0.538339410857939	3.62645301797452	0.000287341070626072	7.04460856143661	0.876454837661023	2.99228581519902	2.40236780799332	19.9311894773124	2021	94	0.000551694855602058
DLPFC	All_VMRs	ERVL_MaLR	2.93662291861407	0.268744064666533	10.9272103265162	8.5434595548507e-28	18.8520737030294	2.40454470274678	3.4588258091682	11.0733874513896	31.7796392373828	9522	407	7.45611015696062e-27
DLPFC	Intergenic_VMRs	ERVL_MaLR	1.85059794152725	0.447708375226521	4.13348966409423	3.57296371259906e-05	6.3636234599529	0.961668760393376	2.71940790978481	2.6160584075567	15.1713367850532	2021	156	7.79555719112522e-05
DLPFC	All_VMRs	ERVK	2.27766138498707	0.585009864447033	3.89337261370794	9.88601256039873e-05	9.75384323203792	1.07675024486136	3.38090887275468	2.93512559597833	29.3974775414724	9522	91	0.000197720251207975
DLPFC	Intergenic_VMRs	ERVK	0.816490532226024	1.11491366529482	0.732335209121434	0.463963994028048	2.26254555733077	-1.55494082451809	2.88072587287745	0.211201880244236	17.8272087715745	2021	25	0.506142538939689
DLPFC	All_VMRs	SVA	0.49347038277408	1.30127036111465	0.379222026044903	0.704522996567386	1.63799082287387	-2.43743094109688	2.76860789065857	0.0873850607034913	15.9364333028038	9522	32	0.743233051323836
DLPFC	Intergenic_VMRs	SVA	0.000185754765274382	2.02411162605388	9.17710085172138e-05	0.999926777329278	1.00018577201876	-4.83202191295519	3.48964396759359	0.00797038952912057	32.7742769240853	2021	10	0.999926777329278
Hippocampus	All_VMRs	any_repeat	2.06017033557637	0.220128239556613	9.35895521504195	8.05290279310406e-21	7.84730637193705	1.63483606402743	2.49805116931202	5.128617163265	12.1587754617927	9799	6323	4.54752157728229e-20
Hippocampus	Intergenic_VMRs	any_repeat	2.01445921714399	0.439725193708154	4.58117762176935	4.62364924751723e-06	7.49667221300912	1.17665724935124	2.90359377025766	3.24351380332831	18.239576574468	2034	1402	1.10967581940414e-05
Hippocampus	All_VMRs	LINE	1.45897240567162	0.178788063109052	8.16034572051777	3.34067015435656e-16	4.30153702141631	1.10783943593206	1.80889058676461	3.02780954587036	6.10367217994733	9799	2008	1.60352167409115e-15
Hippocampus	Intergenic_VMRs	LINE	1.57584696309127	0.318899242839077	4.94151992667627	7.75158922212007e-07	4.8348348111113	0.950393109532541	2.20148901677472	2.58672632624895	9.03846190589345	2034	495	2.06709045923202e-06
Hippocampus	All_VMRs	SINE	0.911523067870844	0.163487815177588	5.57548014743917	2.46848058614693e-08	2.48810920816557	0.591018131613268	1.23207386284418	1.8058260483509	3.42833205939017	9799	3451	7.40544175844079e-08
Hippocampus	Intergenic_VMRs	SINE	-0.232292671022651	0.302841712928903	-0.767043181654389	0.443055841923981	0.792714084910982	-0.829504159122619	0.358611891463199	0.436265550994248	1.43134117802725	2034	744	0.488889204881635
Hippocampus	All_VMRs	LTR	2.81012098460513	0.190628388048749	14.7413562763092	3.49690705896346e-49	16.6119278847504	2.43548019664093	3.18299103459123	11.4213018675574	24.1187858956593	9799	1158	5.59505129434154e-48
Hippocampus	Intergenic_VMRs	LTR	2.0554542991051	0.327371291446793	6.27866386823711	3.4149497948056e-10	7.81038531783466	1.41289923000349	2.69728538711701	4.10784775186725	14.8393937891483	2034	398	1.21420437148644e-09
Hippocampus	All_VMRs	DNA	0.575424171601353	0.237115773036362	2.42676463160935	0.0152341355499508	1.7778844951101	0.103313707100896	1.03345817127227	1.10883920525253	2.81076916832504	9799	852	0.0243746168799213
Hippocampus	Intergenic_VMRs	DNA	1.32046803751391	0.408164193101622	3.23513933811718	0.00121583381228075	3.74517384897507	0.508072243113946	2.11054246593577	1.66208401070652	8.25271688837515	2034	183	0.00220226501847079
Hippocampus	All_VMRs	Satellite	-2.70063919152834	1.50070214644052	-1.79958374680408	0.0719263893645098	0.0671625692713613	-6.08706939291975	-0.137261506542094	0.00227205767591436	0.871742230026001	9799	56	0.0986419054141848
Hippocampus	Intergenic_VMRs	Satellite	-7.35425555634915	3.9620155679235	-1.85619047433565	0.0634264133690203	0.000639863582708178	-16.4298148208674	-1.16221138054704	7.32187119534183e-08	0.312793709581413	2034	22	0.0895431718150875
Hippocampus	All_VMRs	Simple_repeat	-0.460074005063878	0.207641382239502	-2.21571442118994	0.0267110666122188	0.631236929049064	-0.871885978076304	-0.05756886417805	0.418162160429709	0.944056876447053	9799	1629	0.0400665999183281
Hippocampus	Intergenic_VMRs	Simple_repeat	-0.30351425082578	0.369050067848624	-0.822420254777665	0.410837755497976	0.738219368821225	-1.03921789324893	0.409102485052387	0.353731229382446	1.50546600034165	2034	336	0.466602217676537
Hippocampus	All_VMRs	Low_complexity	-1.64260922333733	0.468020005903693	-3.50969873641542	0.000448614666960172	0.193474564776211	-2.60626224832227	-0.76677728709059	0.0738099119357106	0.464507633487413	9799	350	0.000844451137807383
Hippocampus	Intergenic_VMRs	Low_complexity	-1.25628902659649	0.836320793210588	-1.50216165470868	0.133055365156522	0.28470861461187	-3.02971970986795	0.279226664023258	0.0483291824207358	1.32210698399761	2034	58	0.174976918562001
Hippocampus	All_VMRs	L1	1.96652961845313	0.195405161496877	10.0638570823246	7.98088899478348e-24	7.14583463526916	1.58141136694078	2.34768531574554	4.86181277307474	10.4613270095262	9799	1161	5.10776895666143e-23
Hippocampus	Intergenic_VMRs	L1	1.29382906073369	0.340776822053497	3.79670498990267	0.000146632115740881	3.64672338155539	0.620990222370509	1.95805155466457	1.86076970565641	7.08550788178547	2034	337	0.000287279247165808
Hippocampus	All_VMRs	Alu	1.34681112874467	0.168572802661232	7.98949241801033	1.35495459380223e-15	3.84514428935851	1.01547630296274	1.67648880065999	2.76067800338825	5.34674947054494	9799	2566	5.91252913659155e-15
Hippocampus	Intergenic_VMRs	Alu	0.29704644138539	0.31179920706361	0.952685044272067	0.340749673193765	1.34587780242643	-0.319112572682633	0.904241507065408	0.726793727581344	2.47005769104476	2034	583	0.394120103934957
Hippocampus	All_VMRs	MIR	-0.476958578629092	0.234034748077911	-2.03798189177579	0.041551743857566	0.620668237690279	-0.943545461314325	-0.0255425520898065	0.389245331734723	0.974780899118859	9799	1178	0.061368729389636
Hippocampus	Intergenic_VMRs	MIR	-1.09404141047228	0.457662840496683	-2.39049648270538	0.0168256103084137	0.334860446864761	-2.0211331312832	-0.223096056438554	0.132505234154507	0.800037996802844	2034	234	0.0264796490099626
Hippocampus	All_VMRs	ERV1	2.09686528516675	0.258179060051788	8.12174807959308	4.59516390589327e-16	8.14061137889833	1.58317996975535	2.5960780995225	4.8704189970818	13.4110380040611	9799	515	2.10064635697978e-15
Hippocampus	Intergenic_VMRs	ERV1	1.29934485085777	0.430025495000694	3.02155306130319	0.00251481559921829	3.6668935183514	0.440912280968301	2.1297107473058	1.55412437007804	8.41243314053345	2034	175	0.00438949631863555
Hippocampus	All_VMRs	ERVL	2.20719514068201	0.327551834386957	6.73846063116383	1.60073415539625e-11	9.09018391521843	1.55251836731441	2.83828868253787	4.72335034813286	17.0865000770931	9799	251	6.1468191567216e-11
Hippocampus	Intergenic_VMRs	ERVL	1.35939985291241	0.506056213892161	2.6862625447419	0.00722562872047343	3.89385571425078	0.346697959825484	2.33549857153502	1.41438945840893	10.3346111880912	2034	100	0.0119596613304388
Hippocampus	All_VMRs	ERVL_MaLR	2.95089569098589	0.259703752622545	11.3625454433643	6.42449842814243e-30	19.1230744250452	2.43710880157891	3.45585491417323	11.4399178110711	31.6853653744445	9799	388	6.85279832335192e-29
Hippocampus	Intergenic_VMRs	ERVL_MaLR	2.06410501994719	0.429954696616721	4.80075002364077	1.58072485193145e-06	7.87824387040369	1.2124277020803	2.90047240262528	3.36163580449716	18.1827329116568	2034	141	3.99341015224788e-06
Hippocampus	All_VMRs	ERVK	2.24334602138648	0.548883941011835	4.08710449289335	4.3679042124377e-05	9.42481421672496	1.12146548706491	3.28247349017977	3.06934900021269	26.6415889770683	9799	93	9.31819565320042e-05
Hippocampus	Intergenic_VMRs	ERVK	1.52049400464839	1.04345353791308	1.45717461238322	0.145068186654222	4.57448445363821	-0.638395522334252	3.50705935456725	0.528139132041136	33.3500527665991	2034	22	0.188196566470342
Hippocampus	All_VMRs	SVA	0.0871150605896162	1.23815734656802	0.0703586348141337	0.94390821425429	1.09102220615489	-2.69956487012763	2.25321209860862	0.0672347622291324	9.51826037710996	9799	34	0.953844090193809
Hippocampus	Intergenic_VMRs	SVA	-1.01415169405586	2.01834147812897	-0.502467845528298	0.61533846517366	0.362709988401324	-5.91533603609065	2.4230732618985	0.00269775310411327	11.2804739485031	2034	10	0.656361029518571
