"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0005262","calcium channel activity",0.0107032498777781,58,1.10703061848268,0.235509332653393,0.416697316257269,97338,34,70,0.979916565384489,0.612800453338409,0.947903888429838
"GO:0000295","adenine nucleotide transmembrane transporter activity",0.00137412382876905,9,1.33802412044766,0.235880312272338,0.416733568041323,73057,6,10,1.21048516900437,0.366267110014219,0.861329760792963
"GO:0032182","ubiquitin-like protein binding",0.00838109156196689,46,1.1212554068076,0.237384771995664,0.418572573219109,147902,20,53,0.761311427046773,0.969536181062577,0.993774585589142
"GO:0008083","growth factor activity",0.0122744614745459,66,1.0984714967232,0.237650429273298,0.418572573219109,149307,42,79,1.07258179532033,0.298312356687231,0.861329760792963
"GO:0005005","transmembrane-ephrin receptor activity",0.00137755542078296,9,1.33469100381447,0.237977341880671,0.418572573219109,85349,3,8,0.75655323062773,0.849823181992278,0.967213112891734
"GO:0004065","arylsulfatase activity",0.000849890955444438,6,1.44223272848252,0.240326955393172,0.422080871436458,185551,5,6,1.68122940139496,0.105288047335223,0.662367662865506
"GO:0015932","nucleobase-containing compound transmembrane transporter activity",0.00474371841362534,27,1.16276557779685,0.241714060832854,0.423890882493014,105356,15,27,1.12081960092997,0.333633508415179,0.861329760792963
"GO:0008401","retinoic acid 4-hydroxylase activity",0.00102924883137134,7,1.38939253553338,0.243346351377814,0.426124906904596,346516,3,6,1.00873764083697,0.648146224805264,0.947903888429838
"GO:0022858","alanine transmembrane transporter activity",0.00103107901377876,7,1.38692634066223,0.244667686421528,0.427808645816466,105365,4,8,1.00873764083697,0.627263500283969,0.947903888429838
"GO:0042056","chemoattractant activity",0.00193610421424664,12,1.26619274165487,0.245429201230447,0.428510015070487,154123,8,13,1.24152325026089,0.279587880012285,0.861329760792963
"GO:0001162","RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding",0.00212518493421295,13,1.24966592428841,0.247897301091275,0.432184590905463,184919,4,7,1.1528430180994,0.490523456076733,0.861329760792963
"GO:0005499","vitamin D binding",0.000688034198788465,5,1.48459257032767,0.2498354632784,0.434925865062984,182258,3,5,1.21048516900437,0.491877971049976,0.861329760792963
"GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",0.00381981945708096,22,1.17659540535103,0.250909882047548,0.435395343919964,74899,11,22,1.00873764083697,0.568090551700735,0.947903888429838
"GO:0001161","intronic transcription regulatory region sequence-specific DNA binding",0.0023175828597927,14,1.23407077979659,0.25137639886908,0.435395343919964,171896,5,10,1.00873764083697,0.612408767834033,0.947903888429838
"GO:0003727","single-stranded RNA binding",0.00980074117812044,53,1.10475061789104,0.25138542411468,0.435395343919964,127390,21,45,0.941488464781176,0.704899083992423,0.953930939408535
"GO:0009055","electron transfer activity",0.00902234172296575,49,1.10949183836788,0.251569891735084,0.435395343919964,159414,23,44,1.05458935178411,0.417311926586396,0.861329760792963
"GO:0050681","nuclear androgen receptor binding",0.00122496396256453,8,1.33417862515954,0.255412353356441,0.441403035088383,29162,5,11,0.917034218942704,0.715857167305695,0.953930939408535
"GO:0048019","receptor antagonist activity",0.00307928190047971,18,1.19418155712761,0.257109566381254,0.44351083108091,109347,4,6,1.34498352111597,0.335609717294689,0.861329760792963
"GO:0070403","NAD+ binding",0.000871166825930665,6,1.40701013296023,0.25737802644729,0.44351083108091,109744,3,5,1.21048516900437,0.491877971049976,0.861329760792963
"GO:1901505","carbohydrate derivative transmembrane transporter activity",0.00422120133630768,24,1.16150873074006,0.258555081547579,0.444894344370581,75928,15,28,1.08079032946819,0.407092391238407,0.861329760792963
"GO:0034046","poly(G) binding",0.00069935845243436,5,1.46055353459616,0.260130319044623,0.446958019283319,245378,3,5,1.21048516900437,0.491877971049976,0.861329760792963
"GO:0005343","organic acid:sodium symporter activity",0.00271324541899624,16,1.20469805200957,0.261586070687928,0.448435018543973,58303,10,15,1.34498352111597,0.142870065783085,0.729066558867329
"GO:0008376","acetylgalactosaminyltransferase activity",0.00557290543058587,31,1.13638979321079,0.261744241269569,0.448435018543973,116524,12,22,1.10044106273124,0.399830462461409,0.861329760792963
"GO:0005283","amino acid:sodium symporter activity",0.00252816822304616,15,1.21208365449112,0.262751805688957,0.448917357989679,56523,9,12,1.51310646125546,0.0687664167388188,0.570753001522744
"GO:0005003","ephrin receptor activity",0.00178442784723193,11,1.25933419763757,0.26293563060318,0.448917357989679,78099,5,11,0.917034218942704,0.715857167305695,0.953930939408535
"GO:0035035","histone acetyltransferase binding",0.00196973381598294,12,1.24457481679734,0.263158451235329,0.448917357989679,156441,5,10,1.00873764083697,0.612408767834033,0.947903888429838
"GO:0043395","heparan sulfate proteoglycan binding",0.00234629384630906,14,1.2189697771772,0.265292643615782,0.451704664661929,175898,7,11,1.28384790651979,0.264597461302703,0.861329760792963
"GO:0043531","ADP binding",0.00309929952056084,18,1.18646862955805,0.265552195625474,0.451704664661929,48924,12,25,0.968388135203495,0.638929766768099,0.947903888429838
"GO:0070679","inositol 1,4,5 trisphosphate binding",0.00124521035544659,8,1.31248566019047,0.269163574059027,0.457193556508833,94690,4,7,1.1528430180994,0.490523456076733,0.861329760792963
"GO:0043208","glycosphingolipid binding",0.000712284115686745,5,1.43404919070515,0.271998719401893,0.460904745015863,26620,2,5,0.806990112669579,0.807110618204361,0.953930939408535
"GO:0017080","sodium channel regulator activity",0.00330450872299251,19,1.1746108338807,0.272123743482873,0.460904745015863,136675,15,20,1.51310646125546,0.018740042887883,0.390910719187595
"GO:1901682","sulfur compound transmembrane transporter activity",0.00407146953810085,23,1.15404820555139,0.273688909036602,0.462896319835733,111151,14,30,0.941488464781176,0.691339767971815,0.953930939408535
"GO:0070300","phosphatidic acid binding",0.0029313802846803,17,1.18474275786363,0.274795460440695,0.464107673954527,166774,10,16,1.26092205104622,0.216590718176811,0.817854631048584
"GO:0048156","tau protein binding",0.00504341078283994,28,1.13417740897048,0.277574671575744,0.46670075937294,111624,15,26,1.16392804711959,0.263528490205411,0.861329760792963
"GO:0004301","epoxide hydrolase activity",0.000718689754112706,5,1.42126759677239,0.27792258361283,0.46670075937294,25836,3,6,1.00873764083697,0.648146224805264,0.947903888429838
"GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors",0.00199741532489512,12,1.22732667193049,0.278067243115307,0.46670075937294,81501,6,10,1.21048516900437,0.366267110014219,0.861329760792963
"GO:0051427","hormone receptor binding",0.00162577390978894,10,1.25657135165284,0.278093859786597,0.46670075937294,55336,8,15,1.07598681689277,0.48638319522183,0.861329760792963
"GO:0070064","proline-rich region binding",0.00218569534005819,13,1.2150692488672,0.278707214289573,0.46670075937294,74778,5,7,1.44105377262425,0.219424413208157,0.817854631048584
