pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize	LD_Decay
pheno_135	3580	22	0.0989442755660409	0.998807001610007	200	0.6
pheno_136	7248	22	0.0688663626912365	0.99983249415174	200	0.6
pheno_137	3571	11	0.0787386469979979	0.997581819741395	200	0.6
pheno_138	8331	11	0.0702039887016022	0.999895327454376	200	0.6
pheno_139	8935	11	0.0749059806997842	0.999903357615298	200	0.6
pheno_140	6178	15	0.0710105451987825	0.999720987726846	200	0.6
pheno_141	1829	11	0.0452090866995299	0.979706022802492	200	0.6
pheno_142	3917	11	0.0884007916176505	0.997650463218022	200	0.6
pheno_143	7455	11	0.22592716381343	0.999223847311721	200	0.6
pheno_144	2013	11	0.100547817071287	0.994773341688751	200	0.6
pheno_145	7370	15	0.327175548170158	0.999335951126311	200	0.6
pheno_146	2699	11	0.400144570131812	0.990091552979593	200	0.6
pheno_147	4295	21	0.0872041124453898	0.999248200989636	200	0.6
pheno_148	4442	11	0.0744545511808329	0.999276361118418	200	0.6
pheno_149	5559	11	0.0683935635608119	0.999618008623297	200	0.6
pheno_150	3380	11	0.224973599330371	0.995686365282742	200	0.6
pheno_151	5467	11	0.0715923408151764	0.999615963679809	200	0.6
pheno_152	7653	11	0.0721563181608357	0.999860031808128	200	0.6
pheno_153	6032	17	0.0811830797419959	0.999779583525856	200	0.6
pheno_154	615	11	0.0774842356927729	0.907538575085567	200	0.6
pheno_155	6462	11	0.0966816288699164	0.999199609059043	200	0.6
pheno_156	1190	11	0.107660384467531	0.979170031710793	200	0.6
pheno_157	3901	11	0.0782758293836794	0.998998377134615	200	0.6
pheno_158	1624	11	0.071174432384572	0.991184233865526	200	0.6
pheno_159	10992	11	0.0679397920555585	0.999932455970149	200	0.6
pheno_160	13737	11	0.0682842688137745	0.999972701223503	200	0.6
pheno_161	1980	16	0.0903015310764086	0.993123287410529	200	0.6
pheno_162	6236	15	0.0778668626463646	0.999802275807919	200	0.6
pheno_163	17473	11	0.0640297175231494	0.999981612503326	200	0.6
pheno_164	2865	11	0.0859753577520767	0.997996709907632	200	0.6
pheno_165	4501	17	0.0829385892602339	0.999194780769869	200	0.6
pheno_166	5510	13	0.0796325681147391	0.999591227197518	200	0.6
pheno_167	9645	11	0.0695698026025288	0.999920984354007	200	0.6
pheno_168	17239	11	0.0617453507731787	0.999979055142478	200	0.6
pheno_169	16124	11	0.0636944717765947	0.999979031149527	200	0.6
pheno_170	19929	11	0.0606387523935615	0.999981387713801	200	0.6
pheno_171	7683	12	0.0751309210219663	0.99988209529472	200	0.6
pheno_172	3049	11	0.083660625145414	0.998262768172977	200	0.6
pheno_173	6545	16	0.0713138420569841	0.99971564685056	200	0.6
pheno_174	4344	14	0.0963000528890897	0.999299405108011	200	0.6
pheno_175	12486	11	0.064033327009649	0.999969040272674	200	0.6
pheno_176	902	11	0.101290554066779	0.968033693220304	200	0.6
pheno_177	7385	11	0.0684115082779928	0.999836233948616	200	0.6
pheno_178	7458	11	0.0679034903258758	0.999845910492062	200	0.6
pheno_179	1841	15	0.26932769584477	0.981342978394438	200	0.6
pheno_180	6616	18	0.0735303866712294	0.999827295583374	200	0.6
pheno_181	5195	23	0.0786756147828717	0.999599959373404	200	0.6
pheno_182	8542	11	0.0676451760368917	0.999891480881275	200	0.6
pheno_183	6143	16	0.336144034339123	0.998774441160026	200	0.6
pheno_184	4509	11	0.0716345483493976	0.999422107324714	200	0.6
pheno_185	1639	11	0.0819667743714615	0.991044971372453	200	0.6
pheno_186	356	11	0.0456495402989503	0.773104125194197	200	0.6
pheno_187	1828	11	0.0862752788911688	0.992733526445354	200	0.6
pheno_188	12910	11	0.0662341451469584	0.999973948503219	200	0.6
pheno_189	4328	11	0.0713061226093447	0.999320792139204	200	0.6
pheno_190	2787	11	0.258214536301581	0.992901683575457	200	0.6
pheno_191	1289	12	0.0902859081312088	0.984430156771173	200	0.6
pheno_192	8021	11	0.0644490979182754	0.999877317752746	200	0.6
pheno_193	4624	11	0.0722820846491704	0.999325524445454	200	0.6
pheno_194	7040	13	0.066656224312051	0.999794964916454	200	0.6
pheno_195	5141	13	0.0712793131939273	0.999710673843219	200	0.6
pheno_196	2535	11	0.258456959692738	0.990738185216717	200	0.6
pheno_197	1887	11	0.0741237026065507	0.99370276526077	200	0.6
pheno_198	2394	16	0.102935015177896	0.997010395857221	200	0.6
pheno_199	991	11	0.0494302272982494	0.961768210242194	200	0.6
pheno_200	7670	11	0.0785463676970391	0.999756350635064	200	0.6
pheno_201	1562	12	0.083917621780967	0.990660663655985	200	0.6
pheno_202	6552	13	0.0739933606678008	0.999767763934168	200	0.6
pheno_203	5516	11	0.0719274964015679	0.999602001550057	200	0.6
pheno_204	889	20	0.0786127893317227	0.95406652758236	200	0.6
pheno_205	4521	22	0.35483449993835	0.9981921433552	200	0.6
pheno_206	1631	11	0.0701370683582077	0.988791281998534	200	0.6
pheno_207	2832	11	0.42016322537759	0.991895571804628	200	0.6
pheno_208	1689	11	0.465020728354575	0.976042759376066	200	0.6
pheno_209	4183	11	0.0975072540426048	0.99789545405506	200	0.6
pheno_210	2487	11	0.0749093438527248	0.995228335863153	200	0.6
pheno_211	4787	26	0.0834031114342079	0.999446782602633	200	0.6
pheno_212	1105	11	0.108401255822055	0.96868176963063	200	0.6
pheno_213	2368	11	0.089062225251895	0.996913540695644	200	0.6
pheno_214	6351	19	0.0800811761812475	0.999635290280178	200	0.6
pheno_215	2461	11	0.0959288899105839	0.996552402977351	200	0.6
pheno_216	2380	16	0.100142671915363	0.996614777070742	200	0.6
pheno_217	7514	11	0.0636628901624416	0.999854014713311	200	0.6
pheno_218	9236	11	0.0736630380861454	0.999915969949861	200	0.6
pheno_219	6567	22	0.0745535849342941	0.999798530094782	200	0.6
pheno_220	4468	16	0.075615110900796	0.999331975010508	200	0.6
pheno_221	3851	11	0.0969024332108023	0.998951319173872	200	0.6
pheno_222	7105	12	0.0684508852522818	0.999839799824542	200	0.6
pheno_223	12438	11	0.066209568006418	0.999965834848483	200	0.6
pheno_224	4547	20	0.0850472637646632	0.999333530029548	200	0.6
pheno_225	6927	13	0.0700645477705675	0.999828324492806	200	0.6
pheno_226	6565	11	0.0658319885713952	0.999798612600461	200	0.6
pheno_227	4353	11	0.0761312119569614	0.998715040394249	200	0.6
pheno_228	7846	11	0.0709051673626638	0.999884823220651	200	0.6
pheno_229	13065	11	0.0653980305623418	0.999972560137398	200	0.6
pheno_230	5080	11	0.0704601143455567	0.99952718206288	200	0.6
pheno_231	8780	12	0.0725490566744709	0.999901372875188	200	0.6
pheno_232	1602	11	0.103598936921571	0.992270502183198	200	0.6
pheno_233	13040	11	0.22982968326245	0.999865618667009	200	0.6
