disease	tissue	ancestry	annotation	Coefficient_z-score	p_value	FDR_q
scz	caudate	AA	ANNOT_Q5L2_1	1.2240993683961452	0.22091474428917435	0.9376388051587975
scz	hippocampus	AA	ANNOT_Q1L2_1	0.9765316826609194	0.32880105533307225	0.9376388051587975
scz	hippocampus	AA	ANNOT_Q2L2_1	-1.0962018925732098	0.2729904315819076	0.9376388051587975
scz	hippocampus	AA	ANNOT_Q3L2_1	-0.9754699728068148	0.3293271892602183	0.9376388051587975
scz	hippocampus	AA	ANNOT_Q4L2_1	-0.0940375533371675	0.9250793256476681	0.9973348594012015
scz	hippocampus	AA	ANNOT_Q5L2_1	-0.1997052766252489	0.8417110867568105	0.9376388051587975
scz	dlpfc	AA	ANNOT_Q1L2_1	0.343764081829143	0.731023714328561	0.9376388051587975
scz	dlpfc	AA	ANNOT_Q2L2_1	0.5614999508687685	0.5744567637968196	0.9376388051587975
scz	dlpfc	AA	ANNOT_Q3L2_1	-0.384776143844994	0.7004032753403144	0.9376388051587975
scz	dlpfc	AA	ANNOT_Q4L2_1	-1.237868576291476	0.2157647956832902	0.9376388051587975
scz	dlpfc	AA	ANNOT_Q5L2_1	0.7246970964087927	0.4686378768225228	0.9376388051587975
ad	caudate	AA	ANNOT_Q1L2_1	1.0654904551230509	0.2866540426446489	0.9376388051587975
ad	caudate	AA	ANNOT_Q2L2_1	0.928285426850942	0.35325953147352984	0.9376388051587975
ad	caudate	AA	ANNOT_Q3L2_1	-0.4123965219495949	0.6800488120167536	0.9376388051587975
ad	caudate	AA	ANNOT_Q4L2_1	0.5730791396960042	0.5665911107523445	0.9376388051587975
ad	caudate	AA	ANNOT_Q5L2_1	-0.3883838109566488	0.697732022794687	0.9376388051587975
ad	hippocampus	AA	ANNOT_Q1L2_1	0.0158893914130329	0.9873226333615217	0.9973348594012015
ad	hippocampus	AA	ANNOT_Q2L2_1	0.96854234006771	0.3327735841032471	0.9376388051587975
ad	hippocampus	AA	ANNOT_Q3L2_1	0.8148532336599867	0.415156325284054	0.9376388051587975
ad	hippocampus	AA	ANNOT_Q4L2_1	0.3371829549858285	0.7359789856679602	0.9376388051587975
ad	hippocampus	AA	ANNOT_Q5L2_1	0.7652319718378963	0.4441334245536721	0.9376388051587975
ad	dlpfc	AA	ANNOT_Q1L2_1	1.4371194934162552	0.1506840431830463	0.9376388051587975
ad	dlpfc	AA	ANNOT_Q2L2_1	-0.285548394299945	0.7752240336373772	0.9376388051587975
ad	dlpfc	AA	ANNOT_Q3L2_1	-1.300849358079494	0.19331002326553337	0.9376388051587975
ad	dlpfc	AA	ANNOT_Q4L2_1	0.8206591934367728	0.41184042055103376	0.9376388051587975
ad	dlpfc	AA	ANNOT_Q5L2_1	0.3291875448135439	0.742013936592075	0.9376388051587975
smoking	caudate	AA	ANNOT_Q1L2_1	-0.7729315080985889	0.43956291646409995	0.9376388051587975
smoking	caudate	AA	ANNOT_Q2L2_1	0.652109547890587	0.5143305051123122	0.9376388051587975
smoking	caudate	AA	ANNOT_Q3L2_1	-1.224968838382002	0.22058696168638892	0.9376388051587975
smoking	caudate	AA	ANNOT_Q4L2_1	0.2647905589847498	0.7911708102211186	0.9376388051587975
smoking	caudate	AA	ANNOT_Q5L2_1	-0.1989050151007489	0.8423370464186191	0.9376388051587975
smoking	hippocampus	AA	ANNOT_Q1L2_1	0.8422693233831017	0.3996372180376917	0.9376388051587975
smoking	hippocampus	AA	ANNOT_Q2L2_1	0.602515055644265	0.546831344481016	0.9376388051587975
smoking	hippocampus	AA	ANNOT_Q3L2_1	-1.3480807428916242	0.17763241442005473	0.9376388051587975
smoking	hippocampus	AA	ANNOT_Q4L2_1	-0.291073588283945	0.7709950392798284	0.9376388051587975
smoking	hippocampus	AA	ANNOT_Q5L2_1	0.2827702666031836	0.7773529482953949	0.9376388051587975
smoking	dlpfc	AA	ANNOT_Q1L2_1	1.9852497313431023	0.04711669378549921	0.9376388051587975
smoking	dlpfc	AA	ANNOT_Q2L2_1	2.03921011660467	0.041429061667747735	0.9376388051587975
smoking	dlpfc	AA	ANNOT_Q3L2_1	0.7084140218585344	0.4786881873748481	0.9376388051587975
smoking	dlpfc	AA	ANNOT_Q4L2_1	-0.9332123740756778	0.3507103270331584	0.9376388051587975
smoking	dlpfc	AA	ANNOT_Q5L2_1	-1.562375945333012	0.11819945042267332	0.9376388051587975
