annotation	source_module	adjustment	outcome	n_regions_tested	regions_q_below_alpha	n_noncaudate_q_below_alpha	noncaudate_signs_agree	caudate_q	caudate_estimate	dlpfc_estimate	dlpfc_q	hippocampus_estimate	hippocampus_q	role	regions_are_independent_replicates	pooled_p_emitted
quiescent_any	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,hippocampus	1		0.00157023554487979	0.00113327313176831	0.000570694830863728	0.0973268612314488	0.00077902269155302	0.0487146980996912	descriptive	FALSE	FALSE
quiescent_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	dlpfc	1		0.298161559691955	-0.189643467128889	-0.5441657816766	0.0253974823940057	-0.0598271581007786	0.708354970006314	descriptive	FALSE	FALSE
quiescent_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,hippocampus	1		0.00563307281570783	0.00104635496325225	0.000478646235906735	0.153023422635928	0.000755401702552518	0.0458942229451206	descriptive	FALSE	FALSE
accessible_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	""	0		0.169871714734478	0.219628827314339	0.462248881264443	0.0571017296274831	-0.175989180911408	0.347351947187727	descriptive	FALSE	FALSE
accessible_any	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,hippocampus	1		3.40007776877044e-08	-0.00220743252494747	-0.0010547720008264	0.0509078430195447	-0.00180544253083484	0.00131823694063372	descriptive	FALSE	FALSE
accessible_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	""	0		0.349003597637876	0.173894907582772	0.401955180433402	0.0992961820205895	-0.198883215736166	0.267267548870489	descriptive	FALSE	FALSE
accessible_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,hippocampus	1		3.52055086041769e-07	-0.00214195103147905	-0.000938589757788233	0.0877109732336622	-0.00179043192333414	0.00113313224550928	descriptive	FALSE	FALSE
h3k27ac_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	dlpfc	1		0.0996407654552528	0.267532080460575	0.599767529598069	0.0130137802483204	0.1303036394372	0.504102141955768	descriptive	FALSE	FALSE
h3k27ac_any	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,dlpfc,hippocampus	2	TRUE	3.85235537407935e-07	-0.0020584596418338	-0.00113928488460056	0.040333992938696	-0.00152047815256488	0.00131823694063372	descriptive	FALSE	FALSE
h3k27ac_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	dlpfc	1		0.298161559691955	0.214018342487658	0.52528191427412	0.0307861059094454	0.110493951260316	0.580980229087454	descriptive	FALSE	FALSE
h3k27ac_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,hippocampus	1		2.11598851820826e-06	-0.00198466649382546	-0.000993292186467509	0.0816129108286155	-0.00150244986127614	0.00113313224550928	descriptive	FALSE	FALSE
line_l1_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	""	0		0.365634747545711	-0.137270099704629	-0.504810764480259	0.0571017296274831	-0.292099215793369	0.0704353523741222	descriptive	FALSE	FALSE
line_l1_any	04_repeat_repressive_architecture	technical	signed_beta_age	3	""	0		0.118610642159943	0.000546884397833371	0.000230188878458399	0.553220708234074	-0.000131302367874733	0.695000820001976	descriptive	FALSE	FALSE
line_l1_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	""	0		0.668929389609394	-0.0804061368191579	-0.413893406038842	0.0992961820205895	-0.267698393068701	0.0712589855600518	descriptive	FALSE	FALSE
line_l1_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	""	0		0.236941712360276	0.000440705674432238	4.98185526577509e-05	0.884522516199403	-0.000181903707467639	0.554023357788381	descriptive	FALSE	FALSE
genomic_promoter	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	hippocampus	1		0.876915233067128	0.0263993219837268	0.398395661099681	0.198287827873426	0.47265919937931	0.000498243261875328	descriptive	FALSE	FALSE
genomic_promoter	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,dlpfc	1		0.012147351060288	0.00185746596673013	0.00133667315252648	0.040333992938696	0.00118141720354021	0.0500470852076243	descriptive	FALSE	FALSE
genomic_promoter	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	hippocampus	1		0.948314318363272	0.00869647912802515	0.37701127620522	0.236892669084173	0.4693248423433	0.000638563056535265	descriptive	FALSE	FALSE
genomic_promoter	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,dlpfc	1		0.012431900118377	0.00189432863152985	0.00137969051413815	0.0424859689505893	0.00118803926068474	0.0511928589277827	descriptive	FALSE	FALSE
genomic_exonic	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	""	0		0.678290210964959	0.0847767518337352	0.050581218926247	0.858940816785795	-0.0113936547159489	0.953874246667073	descriptive	FALSE	FALSE
genomic_exonic	04_repeat_repressive_architecture	technical	signed_beta_age	3	""	0		0.0836458290867003	-0.000675338508576896	-0.000879351014202847	0.0509078430195447	-0.000787787200347466	0.0880648583645196	descriptive	FALSE	FALSE
genomic_exonic	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	""	0		0.681093451458352	0.0667418596923675	0.0232470670381084	0.935074086297056	-0.0185716768459849	0.924621951833397	descriptive	FALSE	FALSE
genomic_exonic	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	""	0		0.0986090050469658	-0.000641576020745043	-0.000828521146440968	0.0816129108286155	-0.000775755226875679	0.0843546842194985	descriptive	FALSE	FALSE
genomic_intronic	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	hippocampus	1		0.678290210964959	0.0820948853808704	-0.0983273092609224	0.798044084237042	-0.300396678993781	0.0099803224189808	descriptive	FALSE	FALSE
genomic_intronic	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,dlpfc	1		0.00157023554487979	-0.00156756466426688	-0.000915865074948939	0.040333992938696	-0.000694402428258563	0.139669563386816	descriptive	FALSE	FALSE
genomic_intronic	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	hippocampus	1		0.645240976927212	0.0890257439162297	-0.0900111804252722	0.818327226968897	-0.300160281721957	0.0103901066670326	descriptive	FALSE	FALSE
genomic_intronic	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,dlpfc	1		0.00163396927446198	-0.00158109793622981	-0.000931761008735619	0.0424859689505893	-0.000694822284323756	0.139683504272741	descriptive	FALSE	FALSE
genomic_intergenic	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	caudate,dlpfc,hippocampus	2	TRUE	0.00137537119254776	-0.27456989216705	-0.559656099941078	0.0130137802483204	-0.281961794171555	0.0301510090995403	descriptive	FALSE	FALSE
genomic_intergenic	04_repeat_repressive_architecture	technical	signed_beta_age	3	""	0		0.658643924315025	0.000146817409397591	-3.00657800198656e-05	0.943308555904217	-0.000119627025667739	0.707991438298815	descriptive	FALSE	FALSE
genomic_intergenic	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	caudate,dlpfc,hippocampus	2	TRUE	0.0149893106995799	-0.237797044100823	-0.514311195173993	0.0307861059094454	-0.270814756040098	0.0407087285127587	descriptive	FALSE	FALSE
genomic_intergenic	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	""	0		0.825900917568801	7.52399313121029e-05	-0.000119465020725756	0.844883944405681	-0.000140863845899759	0.662075421131943	descriptive	FALSE	FALSE
cell_composition_r2_z	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	caudate	0		0.00137537119254776	0.653127099866841	0.63755465475795	0.0571017296274831	0.181021241554363	0.359797460455076	descriptive	FALSE	FALSE
cell_composition_r2_z	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate	0		0.012147351060288	-0.00178852819503049	-0.00135240924403576	0.070642459324021	-0.000590134052963708	0.47784344803607	descriptive	FALSE	FALSE
cell_composition_r2_z	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	caudate	0		0.00294122471991858	0.638320356932283	0.601476483586435	0.0992961820205895	0.169406679687701	0.404606535697723	descriptive	FALSE	FALSE
cell_composition_r2_z	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate	0		0.0142979536532029	-0.00179390775253246	-0.00129310787351165	0.107720390144489	-0.000589585872200359	0.499799769180075	descriptive	FALSE	FALSE
coupled_expression_nearest_gene	07_transcription_splicing_coupling	technical	debiased_sq_beta	3	""	0		0.752582934458056	0.162113682454783	-0.500430108097119	0.272344025365034	0.319337361587491	0.504102141955768	descriptive	FALSE	FALSE
coupled_expression_nearest_gene	07_transcription_splicing_coupling	technical	signed_beta_age	3	""	0		0.347110917795688	0.000640011022422524	0.00137944722580419	0.063590900008696	0.000740290894520261	0.47784344803607	descriptive	FALSE	FALSE
coupled_expression_nearest_gene	07_transcription_splicing_coupling	technical_score	debiased_sq_beta	3	""	0		0.645240976927212	0.255744623163114	-0.31878093712692	0.588535322273277	0.370204736146206	0.432084829881782	descriptive	FALSE	FALSE
coupled_expression_nearest_gene	07_transcription_splicing_coupling	technical_score	signed_beta_age	3	""	0		0.489309819967381	0.000490373678330243	0.00104322685213271	0.1360936238364	0.000642295694802123	0.499799769180075	descriptive	FALSE	FALSE
coupled_psi	07_transcription_splicing_coupling	technical	debiased_sq_beta	1	""	0		0.752582934458056	0.402162122511635					descriptive	FALSE	FALSE
coupled_psi	07_transcription_splicing_coupling	technical	signed_beta_age	1	""	0		0.575901689974262	0.000780232722438736					descriptive	FALSE	FALSE
coupled_psi	07_transcription_splicing_coupling	technical_score	debiased_sq_beta	1	""	0		0.645240976927212	0.552808975002268					descriptive	FALSE	FALSE
coupled_psi	07_transcription_splicing_coupling	technical_score	signed_beta_age	1	""	0		0.729301310933886	0.000526546319083656					descriptive	FALSE	FALSE
