Tissue	h2_Category	OR	PValue	FDR	Test	Env
DLPFC	Heritable	1.8821395145691646	2.251507300695497e-05	6.101945383147931e-05	DMR	codeine
DLPFC	Heritable	1.6456432028026007	0.0009338297446895576	0.0018127283279267884	DMR	morphine
DLPFC	Heritable	1.395461401652446	0.014627690862253543	0.022986371354969854	DMR	cocaine
DLPFC	Heritable	2.2170833333333335	4.110672324326083e-06	1.507246518919564e-05	DMR	ethanol
DLPFC	Heritable	0.9877820309434343	0.8566936483793017	0.9119642063392567	DMR	nicotine
DLPFC	Heritable	2.175211740107967	1.3657092556145892e-06	6.438343633611635e-06	DMR	amphetamines
DLPFC	Heritable	1.4682090873328089	0.4089639867362477	0.5190696754729298	DMR	less_than_hs
DLPFC	Heritable	1.4682090873328089	0.4089639867362477	0.5190696754729298	DMR	more_than_hs
DLPFC	Heritable	0.5845404064075843	1.8690324778493897e-16	2.0559357256343286e-15	DMR	single
DLPFC	Heritable	0.5845404064075843	1.8690324778493897e-16	2.0559357256343286e-15	DMR	previously_married
DLPFC	Heritable	0.9754510780640081	0.68827065731915	0.757097723051065	Both	smoking
DLPFC	Heritable	1.9305914565900975	1.941694138580279e-05	5.8250824157408375e-05	Both	codeine
DLPFC	Heritable	1.6515055213148433	0.0013188559216941757	0.002417902523105989	Both	morphine
DLPFC	Heritable	1.4321273201856148	0.010042494304204657	0.01744222694940809	Both	cocaine
DLPFC	Heritable	2.0768222461495247	4.192839202676779e-05	9.224246245888914e-05	Both	ethanol
DLPFC	Heritable	0.9716360667411225	0.6481393187562774	0.7375378454812812	Both	nicotine
DLPFC	Heritable	2.154087140929246	2.9750208272624423e-06	1.2271960912457575e-05	Both	amphetamines
DLPFC	Heritable	1.5472196041470312	0.38572053259471917	0.5190696754729298	Both	less_than_hs
DLPFC	Heritable	1.353487276154571	0.527546067104586	0.6447785264611606	Both	more_than_hs
DLPFC	Heritable	0.6256405214496218	4.647857910953461e-13	2.5563218510244034e-12	Both	single
DLPFC	Heritable	0.6232976941269216	2.4767623679523506e-13	2.043328953560689e-12	Both	previously_married
DLPFC	Non-heritable	0.9732748685245507	0.669001233011753	0.7884657389067088	Logit	smoking
DLPFC	Non-heritable	0.5232890927044804	1.4982834879013984e-05	4.120279591728845e-05	Logit	codeine
DLPFC	Non-heritable	0.5897438699243848	0.0004984726078129946	0.0009676232975193425	Logit	morphine
DLPFC	Non-heritable	0.7543486664089679	0.03681669835492411	0.04672888637355753	Logit	cocaine
DLPFC	Non-heritable	0.4840716595657307	2.3862504116003037e-05	6.057404890985387e-05	Logit	ethanol
DLPFC	Non-heritable	1.001357742702327	1.0	1.0	Logit	nicotine
DLPFC	Non-heritable	0.5261885576148267	4.4403813958843396e-05	0.000104666132902988	Logit	amphetamines
DLPFC	Non-heritable	0.6243565560765787	0.004454520125056578	0.0077367981119403715	Logit	less_than_hs
DLPFC	Non-heritable	0.7358139380291989	0.027885414299656755	0.04000950747342056	Logit	more_than_hs
DLPFC	Non-heritable	1.5002523098896623	2.0999456575825805e-14	1.7324551675056288e-13	Logit	single
DLPFC	Non-heritable	1.5939045932775107	1.959913458361213e-20	6.467714412592003e-19	Logit	previously_married
DLPFC	Non-heritable	0.9795084557243611	0.7591835291670219	0.8351018820837242	DMR	smoking
DLPFC	Non-heritable	0.5161599312975839	1.1400953746259892e-05	3.4202861238779676e-05	DMR	codeine
DLPFC	Non-heritable	0.5767750213857998	0.00030938279968864525	0.0006381020243578308	DMR	morphine
DLPFC	Non-heritable	0.7297306107547071	0.020832129471483656	0.0327362034551886	DMR	cocaine
DLPFC	Non-heritable	0.45922659033822066	8.351163689852714e-06	2.7558840176513955e-05	DMR	ethanol
DLPFC	Non-heritable	0.9786148397600711	0.740299133543207	0.8351018820837242	DMR	nicotine
DLPFC	Non-heritable	0.46808666266805155	2.751673545313967e-06	1.2972175285051558e-05	DMR	amphetamines
DLPFC	Non-heritable	0.36067444219066935	0.0365639049544873	0.04672888637355753	DMR	less_than_hs
DLPFC	Non-heritable	0.36067444219066935	0.0365639049544873	0.04672888637355753	DMR	more_than_hs
DLPFC	Non-heritable	1.7425224857379462	1.7559587386963618e-17	1.931554612565998e-16	DMR	single
DLPFC	Non-heritable	1.7425224857379462	1.7559587386963618e-17	1.931554612565998e-16	DMR	previously_married
DLPFC	Non-heritable	0.9956397159586395	0.9507240885681505	1.0	Both	smoking
DLPFC	Non-heritable	0.5017610776076834	7.077692508634151e-06	2.5951539198325223e-05	Both	codeine
DLPFC	Non-heritable	0.6165295422860172	0.0021567342016229167	0.003954012702975348	Both	morphine
DLPFC	Non-heritable	0.7110292738649344	0.014637374357169605	0.02415166768932985	Both	cocaine
DLPFC	Non-heritable	0.49023251153904834	6.080211491092617e-05	0.00013376465280403758	Both	ethanol
DLPFC	Non-heritable	1.0011065771638703	1.0	1.0	Both	nicotine
DLPFC	Non-heritable	0.4726730256317526	4.395185016767524e-06	1.813013819416604e-05	Both	amphetamines
DLPFC	Non-heritable	0.30919244234831167	0.027283958658593937	0.04000950747342056	Both	less_than_hs
DLPFC	Non-heritable	0.386585630562188	0.055225147539018485	0.06749740254768925	Both	more_than_hs
DLPFC	Non-heritable	1.6241255109983042	6.218082964099339e-14	3.419945630254636e-13	Both	single
