term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
chromatin_statePromoter	0.0600790022227497	0.0863843120217408	0.695485103911336	0.486777941194481	-0.109264872065191	0.22942287651069	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
(Intercept)	0.0255344274145858	0.744333648913814	-4.9275316896377	8.32749205067429e-07	0.00587815947883693	0.108829268217143	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
h2_scaled	1.08213943530874	0.0233146635210458	3.38585372132557	0.000709571962199915	1.03339738530961	1.13235958489301	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_vmr_length	1.37323326247681	0.0585950984851791	5.4128760444028	6.20204256169917e-08	1.22450860564208	1.54079014941412	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_num_snps	0.882108307793149	0.10244475150951	-1.22446909885213	0.220775316482745	0.722407126578436	1.07952379887139	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
methylation_variance	0.0141842659953608	10.3413646106163	-0.411514545461368	0.680695277843453	1.02420423664559e-11	4486091.80959043	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_min_distance	0.942357123554291	0.0151198579450348	-3.92668796314323	8.61235937111823e-05	0.914140112053342	0.97001254677048	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateGenic/other	0.881361947719634	0.193782004183254	-0.651695706123887	0.514597493140843	0.610389777334807	1.30749190469495	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateIntergenic	0.590472687473717	0.260032178109889	-2.02602578443803	0.042762142433965	0.355785774342516	0.988571436135663	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_statePromoter	1.58481374523449	0.196608984691503	2.34204398264782	0.0191784546855715	1.0909519055206	2.36293271574153	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
