sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1503	Astrocyte	0.105738042516245	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1504	Astrocyte	0.114639120191957	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1509	Astrocyte	0.11648872443422	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1517	Astrocyte	0.0953422449919836	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1522	Astrocyte	0.157794818446927	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1527	Astrocyte	0.144509555883629	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1528	Astrocyte	0.12528664385203	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1529	Astrocyte	0.133455698964658	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1536	Astrocyte	0.13052868398735	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1538	Astrocyte	0.12063567390865	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1539	Astrocyte	0.12463750439559	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1556	Astrocyte	0.126902770457486	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1563	Astrocyte	0.105488259141364	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1565	Astrocyte	0.0661082018675731	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1568	Astrocyte	0.112211599205943	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1571	Astrocyte	0.131033634840991	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1573	Astrocyte	0.128364302394781	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1576	Astrocyte	0.145125865429591	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1578	Astrocyte	0.127314309750236	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1579	Astrocyte	0.130040124415803	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1581	Astrocyte	0.0789273595970756	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1585	Astrocyte	0.112319849608376	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1587	Astrocyte	0.114831075613988	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1588	Astrocyte	0.11596966276042	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1590	Astrocyte	0.106659949281921	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1594	Astrocyte	0.136936243933455	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1602	Astrocyte	0.129697568446974	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1605	Astrocyte	0.113970118369533	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1611	Astrocyte	0.124501052321948	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1615	Astrocyte	0.0965154726817146	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1637	Astrocyte	0.116554948285778	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1644	Astrocyte	0.132359891582536	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1648	Astrocyte	0.108260466934613	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1654	Astrocyte	0.105939785341522	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1657	Astrocyte	0.14829873022642	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1663	Astrocyte	0.124454376965634	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1664	Astrocyte	0.147563720433396	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1665	Astrocyte	0.132627524486624	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1669	Astrocyte	0.100557973761379	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1676	Astrocyte	0.118058452941283	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1678	Astrocyte	0.11302224035017	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1682	Astrocyte	0.179913793672356	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1684	Astrocyte	0.17484260822188	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1688	Astrocyte	0.130079731508504	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1703	Astrocyte	0.100256132615981	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1721	Astrocyte	0.119580740888079	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1722	Astrocyte	0.115652028874659	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1733	Astrocyte	0.136498364692468	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1738	Astrocyte	0.127392883406833	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1740	Astrocyte	0.102885060277122	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1753	Astrocyte	0.116129500386742	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1761	Astrocyte	0.126868087986338	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1832	Astrocyte	0.108977534941673	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1840	Astrocyte	0.131457820301394	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1880	Astrocyte	0.106799571357984	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1884	Astrocyte	0.109346089811712	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1898	Astrocyte	0.121288601079051	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1905	Astrocyte	0.106572485747423	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1912	Astrocyte	0.120111694773422	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1927	Astrocyte	0.145809751567919	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1936	Astrocyte	0.108197781574698	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1941	Astrocyte	0.105572179328489	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1946	Astrocyte	0.117244460870903	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1958	Astrocyte	0.137512389649176	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1960	Astrocyte	0.113034684805847	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1974	Astrocyte	0.108187386191628	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
