sample_id	cell_type	proportion
Br5212	OPC	0.0176178344891485
Br5212	Inhib	0
Br5212	Immune	0.0103089913078038
Br5556	Oligo	0.721238296396405
Br5556	Micro	0.0283460847778174
Br5556	Astro	0.227755949727528
Br5556	D1-SPN	0.000878087684308256
Br5556	D2-SPN	4.19310941517543e-05
Br5556	OPC	0.0189920250623427
Br5556	Inhib	0
Br5556	Immune	0.00274762525744754
Br1553	Oligo	0.728885723875762
Br1553	Micro	0.024533242998371
Br1553	Astro	0.191633332637115
Br1553	D1-SPN	0.00514613121622391
Br1553	D2-SPN	6.04458039490967e-05
Br1553	OPC	0.0484259480999573
Br1553	Inhib	0
Br1553	Immune	0.00131517536862171
Br1118	Oligo	0.0180168125007351
Br1118	Micro	0.298066697855051
Br1118	Astro	0.140702982964918
Br1118	D1-SPN	0.349441048141071
Br1118	D2-SPN	0
Br1118	OPC	0.153925450963869
Br1118	Inhib	0.0397375705515566
Br1118	Immune	0.000109437022798236
Br2015	Oligo	0.688490861856634
Br2015	Micro	0.0964128618878009
Br2015	Astro	0.143477642268517
Br2015	D1-SPN	0.00159551563610634
Br2015	D2-SPN	0.0527621880114925
Br2015	OPC	0.0133807417543226
Br2015	Inhib	0
Br2015	Immune	0.00388018858512677
Br2305	Oligo	0.731950496516008
Br2305	Micro	0.0405822244730337
Br2305	Astro	0.135202983940204
Br2305	D1-SPN	0.00200248441096753
Br2305	D2-SPN	0.0661905076078549
Br2305	OPC	0.0186330403059626
Br2305	Inhib	0
Br2305	Immune	0.00543826274596916
Br1437	Oligo	0.469768343305103
Br1437	Micro	0.0954469437833312
Br1437	Astro	0.237479401885163
Br1437	D1-SPN	0.111367591482694
Br1437	D2-SPN	0.0574543904458045
Br1437	OPC	0.0203631406984162
Br1437	Inhib	0
Br1437	Immune	0.00812018839948841
Br1279	Oligo	0.639314421670497
Br1279	Micro	0.0965435699067014
Br1279	Astro	0.182332396039806
Br1279	D1-SPN	0
Br1279	D2-SPN	0.0549850412846008
Br1279	OPC	0.023809740274482
Br1279	Inhib	0
Br1279	Immune	0.00301483082391283
Br1503	Oligo	0.45639342110577
Br1503	Micro	0.114633918165687
Br1503	Astro	0.31684070796295
Br1503	D1-SPN	0.0104889785213832
Br1503	D2-SPN	0.0766430935235631
Br1503	OPC	0.0133684835905524
Br1503	Inhib	0
Br1503	Immune	0.0116313971300944
Br1740	Oligo	0.677380919947383
