sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1568	Astrocyte	0.115791278200553	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1571	Astrocyte	0.124733830356222	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1573	Astrocyte	0.132246138527835	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1576	Astrocyte	0.1063494704358	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1578	Astrocyte	0.130244618148225	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1579	Astrocyte	0.0777993906754547	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1580	Astrocyte	0.0807384951055394	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1585	Astrocyte	0.141974769160196	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1588	Astrocyte	0.0676781349618189	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1590	Astrocyte	0.116567411788709	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1594	Astrocyte	0.0859639166775587	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1602	Astrocyte	0.114227666677067	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1604	Astrocyte	0.0970659456072976	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1605	Astrocyte	0.0656631764800831	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1610	Astrocyte	0.144248162782198	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1611	Astrocyte	0.102618032506501	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1613	Astrocyte	0.133115835235512	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1615	Astrocyte	0.123352217500435	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1624	Astrocyte	0.102424885441147	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1637	Astrocyte	0.134854391148536	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1644	Astrocyte	0.130506756352141	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1646	Astrocyte	0.111745342728112	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1649	Astrocyte	0.1142787806606	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1654	Astrocyte	0.0873196479828772	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1657	Astrocyte	0.13763664414276	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1663	Astrocyte	0.100626626280961	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1664	Astrocyte	0.0686844502725876	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1665	Astrocyte	0.0850335100632509	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1669	Astrocyte	0.102490663795342	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1672	Astrocyte	0.169339994091168	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1674	Astrocyte	0.0859880991537976	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1676	Astrocyte	0.122514608404685	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1678	Astrocyte	0.0905284622448542	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1682	Astrocyte	0.0766401478012401	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1688	Astrocyte	0.172061164417117	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1693	Astrocyte	0.0543653531897378	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1695	Astrocyte	0.115587542734899	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1700	Astrocyte	0.0756109259355968	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1703	Astrocyte	0.184480776563414	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1722	Astrocyte	0.0921331519491239	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1735	Astrocyte	0.18951827662792	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1738	Astrocyte	0.188639074954685	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1740	Astrocyte	0.0617526449450289	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1750	Astrocyte	0.126979813802983	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1753	Astrocyte	0.0901505881915576	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1756	Astrocyte	0.0995378696376988	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1761	Astrocyte	0.110736334121276	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1832	Astrocyte	0.0775168386863939	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1840	Astrocyte	0.124998147185777	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1842	Astrocyte	0.115532041495816	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1865	Astrocyte	0.137723099158921	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1883	Astrocyte	0.0961737319022873	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1898	Astrocyte	0.165722644896896	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1905	Astrocyte	0.0965825058846973	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1912	Astrocyte	0.0946217260854452	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1918	Astrocyte	0.0773607715223334	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1927	Astrocyte	0.0864416008067468	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1941	Astrocyte	0.103651899232412	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1946	Astrocyte	0.106142174996206	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1958	Astrocyte	0.117118354794351	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1960	Astrocyte	0.14505021124783	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1980	Astrocyte	0.131991941620825	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1987	Astrocyte	0.0983343685580133	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1988	Astrocyte	0.116579051349806	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1994	Astrocyte	0.106820500411437	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1995	Astrocyte	0.100970944598577	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1998	Astrocyte	0.160687867484212	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2001	Astrocyte	0.0730915829122378	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2003	Astrocyte	0.0528680993604146	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2009	Astrocyte	0.0978079503105224	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2020	Astrocyte	0.0751365242762963	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
