Tissue	h2_Category	OR	PValue	FDR	Annotation
DLPFC	Heritable	0.7374297171090732	0.032931460236932886	0.1467292487883045	hg38_genes_3UTRs
DLPFC	Heritable	1.0840824881170703	0.5968056614154769	0.858512607341549	hg38_cpg_shelves
DLPFC	Heritable	0.8626608670644906	0.34076503933587604	0.6815300786717521	hg38_genes_5UTRs
DLPFC	Non-heritable	0.9010034990427147	0.2522903988243978	0.5385973737472872	hg38_genes_1to5kb
DLPFC	Non-heritable	1.100886118429978	0.31518437558977075	0.5385973737472872	hg38_genes_introns
DLPFC	Non-heritable	1.0675137307791274	0.44883114478940606	0.5385973737472872	hg38_cpg_inter
DLPFC	Non-heritable	0.9181380417335474	0.413799412836732	0.5385973737472872	hg38_genes_promoters
DLPFC	Non-heritable	0.9249719505849018	0.40423454295033023	0.5385973737472872	hg38_cpg_shores
DLPFC	Non-heritable	1.232634329358167	0.01585886079037811	0.09515316474226866	hg38_genes_exons
DLPFC	Non-heritable	0.8801537756145734	0.27181867095432477	0.5385973737472872	hg38_genes_intergenic
DLPFC	Non-heritable	1.1705594410422464	0.19837990576706233	0.5385973737472872	hg38_cpg_islands
DLPFC	Non-heritable	0.9531667071099248	0.8247122690038077	0.8247122690038077	hg38_enhancers_fantom
DLPFC	Non-heritable	1.4272401433691757	0.013155209004791776	0.09515316474226866	hg38_genes_3UTRs
DLPFC	Non-heritable	0.9533730158730159	0.7879365851749711	0.8247122690038077	hg38_cpg_shelves
DLPFC	Non-heritable	1.2189274447949527	0.19669677451055195	0.5385973737472872	hg38_genes_5UTRs
DLPFC	Low prediction	0.5840202916930881	0.3099037089142409	0.5312635009958415	hg38_genes_1to5kb
DLPFC	Low prediction	0.1823492194282183	1.2924315936512288e-05	0.00015509179123814748	hg38_genes_introns
DLPFC	Low prediction	0.9763444723919033	1.0	1.0	hg38_cpg_inter
DLPFC	Low prediction	2.0671913134432436	0.07290910136291305	0.21872730408873917	hg38_genes_promoters
DLPFC	Low prediction	0.7013366750208856	0.5436675120504448	0.6524010144605338	hg38_cpg_shores
DLPFC	Low prediction	1.3563970588235295	0.42390295519217974	0.5652039402562397	hg38_genes_exons
DLPFC	Low prediction	3.78109756097561	0.000973404960691406	0.003893619842765624	hg38_genes_intergenic
DLPFC	Low prediction	4.350366409189939	0.0006924298829311167	0.003893619842765624	hg38_cpg_islands
DLPFC	Low prediction	0.8347442031652558	1.0	1.0	hg38_enhancers_fantom
DLPFC	Low prediction	0.0	0.26815330347615685	0.5312635009958415	hg38_genes_3UTRs
DLPFC	Low prediction	0.31854722939994257	0.3549772726907192	0.5324659090360788	hg38_cpg_shelves
DLPFC	Low prediction	0.0	0.25812806738436955	0.5312635009958415	hg38_genes_5UTRs
Hippocampus	Heritable	1.1693085470535574	0.13692460133948858	0.27384920267897717	hg38_genes_intergenic
Hippocampus	Heritable	1.250471153846154	0.008082175982875587	0.04849305589725352	hg38_cpg_inter
Hippocampus	Heritable	0.8114855244423351	0.019023851429194286	0.07609540571677714	hg38_genes_introns
Hippocampus	Heritable	0.9608330660831179	0.6934061645837903	0.7564430886368623	hg38_genes_promoters
Hippocampus	Heritable	0.895944609297725	0.22580171872461785	0.33372093379931905	hg38_genes_1to5kb
Hippocampus	Heritable	0.8229807495857074	0.02809864850320347	0.0842959455096104	hg38_cpg_shores
Hippocampus	Heritable	0.8662228674067497	0.11470858778899995	0.27384920267897717	hg38_genes_exons
Hippocampus	Heritable	0.863279593318809	0.22588853034763207	0.33372093379931905	hg38_cpg_islands
Hippocampus	Heritable	0.6036648472175705	0.0001823761223252862	0.0021885134679034348	hg38_enhancers_fantom
Hippocampus	Heritable	0.9659563800451241	0.8182258157302386	0.8182258157302386	hg38_cpg_shelves
Hippocampus	Heritable	0.9159341779142315	0.6379015977900611	0.7564430886368623	hg38_genes_3UTRs
Hippocampus	Heritable	0.8226589447685559	0.2502907003494893	0.33372093379931905	hg38_genes_5UTRs
Hippocampus	Non-heritable	0.7530120481927711	0.009238789363186537	0.03695515745274615	hg38_genes_intergenic
Hippocampus	Non-heritable	0.8063846187368582	0.013816467288358052	0.041449401865074155	hg38_cpg_inter
Hippocampus	Non-heritable	1.408295147456233	0.0002434632434836835	0.001460779460902101	hg38_genes_introns
Hippocampus	Non-heritable	1.0110480740519558	0.9192546619735495	1.0	hg38_genes_promoters
Hippocampus	Non-heritable	1.1352256134477723	0.1663358838538791	0.24950382578081864	hg38_genes_1to5kb
Hippocampus	Non-heritable	1.2123103769873074	0.0340016330172317	0.08160391924135607	hg38_cpg_shores
Hippocampus	Non-heritable	1.162462768669332	0.11500044744611918	0.23000089489223835	hg38_genes_exons
Hippocampus	Non-heritable	0.9930566768932666	1.0	1.0	hg38_cpg_islands
Hippocampus	Non-heritable	1.7463612464734548	5.9237280991025995e-05	0.000710847371892312	hg38_enhancers_fantom
Hippocampus	Non-heritable	1.0487123797704003	0.7526347576442832	0.9031617091731399	hg38_cpg_shelves
Hippocampus	Non-heritable	1.1842530966907008	0.3346558105470589	0.44620774739607855	hg38_genes_3UTRs
Hippocampus	Non-heritable	1.2835194758521549	0.1454077848561269	0.24927048832478896	hg38_genes_5UTRs
Hippocampus	Low prediction	2.9555860805860807	0.0007021328461772358	0.002808531384708943	hg38_genes_intergenic
Hippocampus	Low prediction	0.7634259104157594	0.43261337271373274	0.8293149241866177	hg38_cpg_inter
Hippocampus	Low prediction	0.2650015229972586	1.8491012349461666e-05	0.00022189214819354	hg38_genes_introns
Hippocampus	Low prediction	1.4446530164322637	0.2772236318712964	0.6653367164911114	hg38_genes_promoters
Hippocampus	Low prediction	0.8645972037283621	0.743726858170523	0.8924722298046275	hg38_genes_1to5kb
Hippocampus	Low prediction	1.1880065943124056	0.6219861931399633	0.8293149241866177	hg38_cpg_shores
Hippocampus	Low prediction	1.0154966392830471	1.0	1.0	hg38_genes_exons
Hippocampus	Low prediction	3.9335444929181858	8.815557520344095e-05	0.0005289334512206457	hg38_cpg_islands
Hippocampus	Low prediction	0.5220883534136547	0.5803721061826519	0.8293149241866177	hg38_enhancers_fantom
Hippocampus	Low prediction	0.8583489681050657	1.0	1.0	hg38_cpg_shelves
Hippocampus	Low prediction	0.0	0.17018347571142148	0.5105504271342645	hg38_genes_3UTRs
Hippocampus	Low prediction	0.37766472868217055	0.5161389755115814	0.8293149241866177	hg38_genes_5UTRs
