h2_quintile	n	n_annotated	frac	h2_median	h2_lo	h2_hi	ci_lo	ci_hi	annotation	annot_col	tissue
Q2	1904	401	0.210609243697479	0.0862391697834521	0.0748215357825272	0.0961607187745325	0.192877172754668	0.229506697296471	Promoter	hg38_genes_promoters	DLPFC
Q3	1904	411	0.215861344537815	0.107212876924092	0.0961767264452227	0.119594231452706	0.197954519109898	0.234912402301474	Promoter	hg38_genes_promoters	DLPFC
Q4	1904	463	0.243172268907563	0.13436208781984	0.119598560584876	0.160687788545982	0.224425443484235	0.262953345000351	Promoter	hg38_genes_promoters	DLPFC
Q5	1905	464	0.243569553805774	0.264786259823176	0.160730965721952	0.79331704614925	0.224816103850408	0.263355113572959	Promoter	hg38_genes_promoters	DLPFC
Q1	1905	182	0.0955380577427822	0.0607078182363238	0.00333481721664114	0.0748139988022866	0.0831149083861864	0.109589130558961	Enhancer	hg38_enhancers_fantom	DLPFC
Q2	1904	194	0.101890756302521	0.0862391697834521	0.0748215357825272	0.0961607187745325	0.0890711121082656	0.116313594786041	Enhancer	hg38_enhancers_fantom	DLPFC
Q3	1904	187	0.0982142857142857	0.107212876924092	0.0961767264452227	0.119594231452706	0.0856202736932388	0.112426297248904	Enhancer	hg38_enhancers_fantom	DLPFC
Q4	1904	173	0.0908613445378151	0.13436208781984	0.119598560584876	0.160687788545982	0.0787358983076395	0.104634400730177	Enhancer	hg38_enhancers_fantom	DLPFC
Q5	1905	126	0.0661417322834646	0.264786259823176	0.160730965721952	0.79331704614925	0.0557976115610058	0.0782320940693173	Enhancer	hg38_enhancers_fantom	DLPFC
Q1	1905	561	0.294488188976378	0.0607078182363238	0.00333481721664114	0.0748139988022866	0.274445492160104	0.315358052612155	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q2	1904	584	0.30672268907563	0.0862391697834521	0.0748215357825272	0.0961607187745325	0.28641250030083	0.32781120964258	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q3	1904	591	0.310399159663866	0.107212876924092	0.0961767264452227	0.119594231452706	0.29001349219774	0.331548353697833	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q4	1904	594	0.311974789915966	0.13436208781984	0.119598560584876	0.160687788545982	0.291557241657008	0.333149519646635	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q5	1905	576	0.302362204724409	0.264786259823176	0.160730965721952	0.79331704614925	0.282148729881913	0.323371154171102	1–5 kb upstream	hg38_genes_1to5kb	DLPFC
Q1	1905	376	0.19737532808399	0.0607078182363238	0.00333481721664114	0.0748139988022866	0.180108360594381	0.215860333048549	Intergenic	hg38_genes_intergenic	DLPFC
Q2	1904	386	0.202731092436975	0.0862391697834521	0.0748215357825272	0.0961607187745325	0.185269692879224	0.221389600131564	Intergenic	hg38_genes_intergenic	DLPFC
Q3	1904	376	0.197478991596639	0.107212876924092	0.0961767264452227	0.119594231452706	0.180203921998007	0.215972319652548	Intergenic	hg38_genes_intergenic	DLPFC
Q4	1904	384	0.201680672268908	0.13436208781984	0.119598560584876	0.160687788545982	0.184256156087089	0.220306526651653	Intergenic	hg38_genes_intergenic	DLPFC
Q5	1905	499	0.261942257217848	0.264786259823176	0.160730965721952	0.79331704614925	0.242684984780577	0.282157690964555	Intergenic	hg38_genes_intergenic	DLPFC
Q1	1960	486	0.247959183673469	0.0599339269335304	0.00242621652554996	0.0737877244485638	0.229340706682233	0.267563691805564	Promoter	hg38_genes_promoters	Hippocampus
Q2	1960	447	0.228061224489796	0.0846450610379154	0.0737886896178399	0.0950127967073147	0.2100207533551	0.247165571329102	Promoter	hg38_genes_promoters	Hippocampus
