"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"R11152",-0.698734309027064,3.58839094442548,2.41105953079685,-0.5580581343293,0.505379109378077,1.33111239489047,-0.0499103465226952,1.99959746663165,-1.80238350715022,0.538183109513075,-0.119214758469138,1.2592616870955,-1.07654337049091,1.99392282904775
"R11153",5.53301260718882,1.39451647996528,3.07920619954123,-0.104249908998866,2.89929975679563,1.66701443646881,-0.155831418218647,-1.7524066493188,-2.38758590016153,-8.64892748667874,0.471006513501019,1.06530141442746,0.512558733086559,0.142041224083856
"R11154",-0.608091725907267,1.44051023646347,2.90890748180574,0.358528216127951,1.59588146436118,-0.406075535790924,-1.73909394150357,2.91353041352481,-3.49958520021542,-0.812901026248033,0.254954925093123,1.53587126522853,-4.31404967464693,-1.87480571835952
"R11155",12.7648035641958,6.49441908253845,4.62776167547839,0.604680613012838,2.39309975690839,-0.839191253643573,-0.141981297870704,0.887996486297721,-0.533955207896275,-0.141281593566017,-0.0588179438997419,-0.899469119287553,-1.86872350274152,1.38381746479339
"R11156",18.9798090859668,3.76311828158294,7.50074165319683,-1.41665975380172,0.924270239014113,-0.918672867847551,1.66827386697507,1.15527471883434,1.03011299744141,1.81407212343306,0.305957202055161,0.407674017078625,-2.51947548408412,1.16065405413403
"R11157",15.1574188703515,3.79374496339037,6.74213606989867,0.688358258120751,1.53191689624012,-0.380606245891086,1.72647855961313,1.23419186905298,0.105206112562872,1.02472801067248,-3.17179301599443,0.20906263371022,-0.0674366700800669,1.55972727065495
"R11158",-18.2820915852369,3.44877790840238,3.53868340718268,4.03124180616065,-0.839310257701712,-2.27608797800022,-2.81010828214355,2.7589882020181,-1.39478419247248,0.892162841654813,-0.0746799248118666,0.253327597771609,-1.35997019352118,2.50962735161942
"R11183",8.51459245361942,5.15480260655372,4.04959401976206,0.638929633705002,1.87062814683989,0.486965927608158,-0.211427058526508,0.61566702979612,-1.10118963195679,1.80887243316567,0.312219001418172,0.241228046382936,-3.43914062860768,2.660017640932
"R11184",20.2372095348168,5.96287229787298,3.12908273292357,-1.06331480810519,2.92517266352033,-0.653290676611265,-1.78429497026434,0.411450669558613,-1.30725571291512,1.01062623200186,-0.119691425471823,-0.818432565397489,-3.92727946447702,1.7053704662743
"R11185",13.7070511871824,4.19945584524034,5.38872328370628,-0.504433787984754,2.20243483442666,-0.576815795404831,-0.384926560369359,0.489859473504787,-0.774507277650612,-0.38966977730232,-0.0531223941533985,-0.231572450148122,-1.75673177728482,2.09039755796909
"R11186",3.73589174712598,4.74620814582518,3.16973886556849,0.586264609730633,2.89637465553534,1.24702188956816,-0.555869442217952,-0.37901865866938,-2.63382113446644,-0.52191536551867,-0.800402139542577,0.425735688788888,-2.03727740453058,2.45193377977258
"R11187",-4.00463428871474,5.12810712465389,2.50663528376471,2.9316645905514,2.12411056740555,-2.02918342220728,-2.01919547997901,1.67320561866409,-2.62570013397185,-0.0918579107468677,1.52075264585546,-1.64035428978499,-3.17871072259954,2.14626858917414
"R11188",-0.890405891012586,5.15780702511613,3.44085643551521,2.86803562978664,0.438092050690303,-0.334036160493263,-1.23968950693456,-0.851976009576904,-0.750347320422142,-5.63739455749269,-1.56532702470268,1.82551166477044,2.44955380887255,0.974915624648374
"R11189",-13.3192705085994,4.45764211385351,1.76789224779924,3.862195908601,1.6891331653207,-0.919160495230731,-2.18694272808733,0.0418439408242923,-2.99372338388505,-1.60771413647393,0.792047897147794,0.381928411048185,-2.17144398604747,3.08144190613153
"R11190",21.2533007220889,4.29211673700097,4.98342630974191,-2.11757456320621,3.17200072695063,-0.669384397744261,-0.318315518791472,0.454882499979465,0.677126704439017,-2.25102084028052,-0.648421653901119,-0.367058352072795,-1.62743251389994,0.368226967001479
"R11191",12.1795945034593,2.4925973492206,6.33391731469373,-1.43517197387317,1.64932638495635,0.731904899035111,0.707921030598584,2.26630092432315,0.580134022495552,0.794605396224007,-2.73310825158423,2.61156742914228,0.307231963582297,1.5534015332087
"R11192",4.61077876899101,1.4691571419351,3.6081129001977,0.625048806854857,3.16390496201458,0.553555862083092,0.496734909033202,0.663690558362464,0.0344178855957019,-3.72980533368692,2.45422675178979,-0.665590369481834,-2.31126260839021,1.2637510569134
"R11193",-1.33264028802893,4.01078651122272,1.09530376208553,0.73149899627915,2.33555066890982,0.278048439430182,-3.08544292171513,1.16592146843325,-2.40164669419957,-0.0772764330729686,0.0843999532808826,0.333370189928887,-3.26100264793545,2.5069443347888
"R11195",13.6654773707235,5.65162199276978,2.99046774603715,0.0657887233375236,0.674964653447934,-0.331742960186204,0.509725662598832,0.642811390936829,-0.71163565034949,0.28368225230027,0.811980411175326,1.10236576921582,-2.93241773400056,1.34690498177032
"R11197",21.0069606535365,5.30197121040533,4.2497835855029,-1.37813226538483,2.03020473836905,-0.154685444225886,0.840920447067149,-0.509164840197467,-0.669621551761254,0.778325443373201,0.855881281844257,0.214498346494753,-2.30960323551805,1.80880427138065
"R11198",10.6658482716354,0.93371682874788,4.45853579377086,-3.35645839863066,2.87460189158955,2.59156894124567,-0.233000212080627,1.17792914261001,1.13333812096738,-0.0496009700027069,1.07454588291476,1.61173055984966,-2.96395403984394,1.13430408835775
"R11199",12.0864916372813,-3.61318310498367,3.08071372003058,-12.6100016919319,-1.40451302324914,-7.86431402678202,-2.1679140966584,0.560224623848287,-4.96374255242367,-0.773413366585605,0.616170145792629,1.09683857498959,-2.06827089291069,1.12736249118362
