"","PC1","PC2","PC3","PC4","PC5","PC6"
"R12616",-21.0189053469833,1.4198429492004,-1.27448359718601,-1.88592124723606,-0.157290769594581,-0.407992277181099
"R12617",-10.3317745350741,-1.49121826991262,0.542081792673651,-0.541213116807269,11.793423786606,-1.62505212692592
"R12618",41.3452903392913,9.39322643686074,2.07809069377037,11.9074150412531,-0.864801842854507,-1.94526529652385
"R12619",8.56295059238306,-4.71451375491417,11.7500263727565,0.590061477432652,0.648095982439369,2.15248266269522
"R12620",25.7675430495156,2.26599281139574,1.07543385581964,7.39646886331373,-2.94762855213556,-10.5281850489013
"R12621",-24.7844340795341,4.44354796326454,3.23642244337075,2.51973173916418,0.819740878664197,1.41356555577722
"R12622",31.6279046869464,11.0982339252183,6.44654942117136,8.15359542960905,2.23486358571964,-2.52190361682167
"R12623",-24.7482148295438,0.25020486398458,2.22085510332878,0.220096009333987,-0.379518092600836,0.0724292546831889
"R12624",-24.4501731104578,0.680270159798164,-0.238936970946519,-1.5682897858832,3.27134679680131,-4.93621278202472
"R12626",25.5804492639295,1.16804816313911,-0.881831660263811,-1.78876293155301,0.0458975774479976,-1.52645370877385
"R12627",3.16196629402731,-1.93314792281482,1.36964419250313,-0.824676111750052,7.17375295472802,-1.81549071632405
"R12628",-20.3496480358084,2.36735566116586,0.597828124931845,1.87455351399153,0.523636684651319,-3.66478951004166
"R12629",-16.6747960668034,-2.47242202944123,2.76569064098406,-1.19287839055471,0.0146236525603382,-2.45066188241403
"R12630",-5.80817034547272,-1.79717524463256,5.25690672358784,-0.796794599862417,-1.65750679619135,0.453561460587666
"R12631",8.29304762276552,-1.55801262333134,1.64747049394719,-5.16445728947699,0.528960843407464,-1.93940411446652
"R12632",-3.6085951145461,1.27307990683769,0.503527361348175,-1.0388470987702,5.55449073867635,-0.500605577235625
"R12633",37.6866892301496,-2.0282207694851,-0.14373993977653,-4.08861091961379,-0.401422710667079,-1.04253329814057
"R12636",-2.20561025802382,2.71847057525461,-1.20508637487045,-3.21996845905179,0.998554219758689,-1.71501016366374
"R12637",7.31711523020416,-3.61112779835776,3.05365513392169,-4.87784176884847,-1.03589716609427,-0.87538688889813
"R12638",10.8104737343268,-1.83322904815759,0.595706905154139,-3.7405989262765,3.63033979225595,-0.0547860643924178
"R12639",-17.1416785105932,1.58755700354983,2.67569609744091,-1.22441470059632,4.76062657743656,-1.52944862414693
"R12640",-17.9155859759318,-0.349256399340795,2.67655853469471,0.126607810559909,0.924638688190053,-1.62085777499598
"R12641",-20.3557013397907,0.411145291222191,3.00886594597784,-0.0463707645666391,-0.526744095606027,-1.6975466387458
"R12642",-29.74262030767,-0.344013443790824,1.48442856728069,-1.57026481812341,0.71381678913196,-1.24429287583603
"R12644",-2.44885748630757,-3.27909093110132,1.1124619987432,1.27975638643988,0.384372666112596,-6.99824196705237
"R12645",-25.0644180157839,3.8811298632089,1.08097843638544,-0.411194312009095,0.363316076929951,-1.73508784550747
"R12646",12.320198562684,1.56232730404996,-0.188403054777289,-2.67747154178193,2.69494026105061,-1.05048166306463
"R12647",25.6602793195793,-0.824336156894869,2.99638846597507,-5.33713845557163,1.14159532538109,0.00903999769024166
"R12648",27.9894299802795,2.85348273936404,-1.82262144541163,-2.49071093969981,-0.54163081893609,-3.01528517827446
"R12649",-33.3925794161506,4.34145100617638,2.38512377670532,-1.07704495250125,-0.574083781723748,-4.25195934085707
"R12650",-27.7330685124172,5.07097583494795,0.103810361996586,-0.163787072164576,1.72417618529097,-2.37163487073907
"R12651",34.6785886994278,0.862441596759691,2.90975645741444,-0.115916622038225,6.31968114436348,-0.00924797799012023
"R12652",35.4004674587489,-5.10714141851917,-3.29859729096489,-0.71625853690309,0.20320349887234,-1.02894626141877
"R12653",-15.7046961212397,3.77977198224961,2.22995390310051,2.16571613645135,4.01546924456711,-0.899065901238478
"R12654",-15.3433003966165,2.03719688523799,3.18088696552051,2.06047694317747,3.9445436919688,0.268188047692445
"R12655",10.1307600417715,-1.1478451365293,0.293213413191235,-3.3030305427236,2.79288787996298,-1.71203803891918
"R12656",48.2924118973423,2.59266362273648,0.568149393685545,0.706678722384076,-1.27043980251182,4.08325561896361
"R12657",-21.6512164653148,3.46644748385844,2.70514889729243,1.88369210272711,11.6220257950689,1.75433669344521
"R12658",0.408103480873529,-2.99023733163933,-3.79893581111137,-4.63592854142789,-0.112492711892023,-2.61950021330004
"R12659",-25.2734649095971,0.717190571498162,1.82883643482462,-1.41747709982974,-0.751975008155473,-4.92836304746589
"R12660",-20.3961382881869,2.47126834821466,-1.71972534439681,0.55016827378589,0.531196438304835,0.608745571238626
"R12661",-15.6517546599858,3.09063774468888,1.27003154267152,-1.46721366121187,-1.54793799039277,-4.72653331065277
