disease	tissue	annotation	Coefficient_z-score	p_value	FDR_q
scz	hippocampus	ANNOT_Q1L2_1	-0.1468363211744489	0.8832612152441273	0.9633288473140267
scz	hippocampus	ANNOT_Q2L2_1	-1.3420127428975634	0.1795918639445897	0.8959780018163293
scz	hippocampus	ANNOT_Q3L2_1	0.8372375646075441	0.40245904629522444	0.8959780018163293
scz	hippocampus	ANNOT_Q4L2_1	-1.2261004443325365	0.22016087867338996	0.8959780018163293
scz	hippocampus	ANNOT_Q5L2_1	0.2977709252402384	0.7658780067553193	0.9633288473140267
scz	dlpfc	ANNOT_Q1L2_1	-2.52008473251312	0.011732658733176526	0.3519797619952958
scz	dlpfc	ANNOT_Q2L2_1	0.0524304155315312	0.9581857393493252	0.9633288473140267
scz	dlpfc	ANNOT_Q3L2_1	-1.0364383611763357	0.2999976816231462	0.8959780018163293
scz	dlpfc	ANNOT_Q4L2_1	-0.851684661784532	0.3943891359423839	0.8959780018163293
scz	dlpfc	ANNOT_Q5L2_1	0.5343741178465746	0.5930827221588011	0.9633288473140267
ad	caudate	ANNOT_Q1L2_1	0.0494484363019435	0.960561928759257	0.9633288473140267
ad	caudate	ANNOT_Q2L2_1	0.9809013962750948	0.32664136887257755	0.8959780018163293
ad	caudate	ANNOT_Q3L2_1	1.048125131609264	0.2945809587906578	0.8959780018163293
ad	caudate	ANNOT_Q4L2_1	0.4304230810156267	0.666887908554163	0.9633288473140267
ad	caudate	ANNOT_Q5L2_1	0.1865816312291273	0.8519886699779367	0.9633288473140267
ad	hippocampus	ANNOT_Q1L2_1	0.910826737267123	0.362386672338181	0.8959780018163293
ad	hippocampus	ANNOT_Q2L2_1	-1.094773546326657	0.2736158585564239	0.8959780018163293
ad	hippocampus	ANNOT_Q3L2_1	-0.3973892406059704	0.6910804484606836	0.9633288473140267
ad	hippocampus	ANNOT_Q4L2_1	1.1271165367384344	0.259693212478858	0.8959780018163293
ad	hippocampus	ANNOT_Q5L2_1	0.7085659367755044	0.4785938808642278	0.8990425964337874
ad	dlpfc	ANNOT_Q1L2_1	0.1607127553781647	0.8723196426923538	0.9633288473140267
ad	dlpfc	ANNOT_Q2L2_1	0.749129559812729	0.4537791200916479	0.8990425964337874
ad	dlpfc	ANNOT_Q3L2_1	1.176799527898834	0.23927553110281918	0.8959780018163293
ad	dlpfc	ANNOT_Q4L2_1	-1.914647231851725	0.05553750732186247	0.6664500878623496
ad	dlpfc	ANNOT_Q5L2_1	0.4984902757709358	0.6181385214824375	0.9633288473140267
smoking	caudate	ANNOT_Q1L2_1	0.5710555008039127	0.5679620215649039	0.9633288473140267
smoking	caudate	ANNOT_Q2L2_1	1.2118652759678574	0.22556395613507663	0.8959780018163293
smoking	caudate	ANNOT_Q3L2_1	0.8359374356467978	0.4031901008173482	0.8959780018163293
smoking	caudate	ANNOT_Q4L2_1	-1.9270772897316533	0.05396999851427875	0.6664500878623496
smoking	caudate	ANNOT_Q5L2_1	0.8513675456485503	0.3945652141679781	0.8959780018163293
smoking	hippocampus	ANNOT_Q1L2_1	0.7698279677047849	0.441401947196866	0.8990425964337874
smoking	hippocampus	ANNOT_Q2L2_1	-0.3354196496533842	0.7373085473519936	0.9633288473140267
smoking	hippocampus	ANNOT_Q3L2_1	-1.1534116218236816	0.2487414735182243	0.8959780018163293
smoking	hippocampus	ANNOT_Q4L2_1	0.1271045958025085	0.898857614043113	0.9633288473140267
smoking	hippocampus	ANNOT_Q5L2_1	0.1340095982852418	0.893394984565073	0.9633288473140267
smoking	dlpfc	ANNOT_Q1L2_1	0.7841931188132815	0.43292680221880664	0.8990425964337874
smoking	dlpfc	ANNOT_Q2L2_1	0.7071240608884094	0.4794893847646866	0.8990425964337874
smoking	dlpfc	ANNOT_Q3L2_1	-0.0459766669510699	0.9633288473140267	0.9633288473140267
smoking	dlpfc	ANNOT_Q4L2_1	0.3341783990725026	0.7382449429928011	0.9633288473140267
smoking	dlpfc	ANNOT_Q5L2_1	0.1067950329346554	0.9149515880840517	0.9633288473140267
