tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_top	n_lower	n_in_top	n_in_lower	fdr
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3_broad	3.87573767456839	2.81019604070496	5.3593235455322	9.61345824857725e-18	215	859	122	217	7.41609636318816e-17
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	H3K9me3_broad	4.35273751245413	2.82631502309835	6.77760407672931	1.83238217943262e-12	108	966	68	271	1.09942930765957e-11
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Polycomb	0.84879971704501	0.589263100677828	1.20932006195242	0.391562777844462	215	859	53	239	0.46510811346565
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Polycomb	0.834551945679435	0.503510420415111	1.34510214356623	0.494753211026313	108	966	26	266	0.534333467908418
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Het	2.47719049490826	1.0852310631461	5.42197044820824	0.0219180013883247	215	859	12	20	0.036986627342798
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Het	1.68723778726196	0.496549344852496	4.57770278690085	0.362257454110078	108	966	5	27	0.44458869368055
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Quies	2.63348542657474	1.90304101837602	3.66913104763393	7.50093355395521e-10	215	859	145	378	3.11577239933524e-09
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Quies	3.19937308476559	2.02367732387919	5.17855741014108	7.84012325027367e-08	108	966	79	444	2.64604159696736e-07
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	BroadRepressive	4.51329820022914	2.70831297896231	7.94694366499588	1.02414325039777e-11	215	859	197	608	5.53037355214798e-11
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	BroadRepressive	7.7384206862474	3.1586979837429	24.6062438347063	7.23255215319288e-09	108	966	103	702	2.60371877514944e-08
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Bivalent	0.512079329154028	0.193524426217295	1.15267347380933	0.133080999733512	215	859	7	53	0.189115104884464
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Bivalent	0.455889402208359	0.0897509602489379	1.44124463359869	0.266020606565905	108	966	3	57	0.359127818863972
