tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
Caudate	Intergenic_VMRs	Het	0.158235846771531	0.0556118803806122	0.367114941478382	1.3062890139594e-07	1049	600	63	6	5.87830056281732e-07
Caudate	Intergenic_VMRs	Quies	0.227738351430291	0.182697096992268	0.283319948569966	2.52541855453696e-44	1049	600	750	218	2.72745203889992e-43
Caudate	Intergenic_VMRs	BroadRepressive	0.207722668457414	0.161274819093738	0.2667229910301	1.27526652623319e-38	1049	600	916	353	1.14773987360987e-37
Caudate	Intergenic_VMRs	Bivalent	3.03111094887474	1.44830817913888	6.60138808593336	0.00201599534577708	1049	600	13	22	0.00494835221236193
DLPFC	All_VMRs	H3K27me3	1.06637562530643	0.881443857664686	1.28612784329184	0.505186954146091	4233	684	1050	178	0.620002170997475
DLPFC	All_VMRs	H3K9me3	0.902119956422128	0.604219938067537	1.31110839783508	0.648985221676034	4233	684	232	34	0.748909916219935
DLPFC	All_VMRs	H3K27me3_broad	1.15289954861114	0.977590953282599	1.36000390331313	0.0910220685041296	4233	684	2065	358	0.163839723307433
DLPFC	All_VMRs	H3K9me3_broad	1.0847013809692	0.914850237580392	1.28457185681342	0.347716823294821	4233	684	1553	264	0.447064487093342
DLPFC	All_VMRs	Polycomb	1.14643323663086	0.908318756775057	1.43741602709349	0.238962114862331	4233	684	595	108	0.344780440646014
DLPFC	All_VMRs	Het	0.812953533415259	0.248869443155115	2.07892660838062	0.826138852386151	4233	684	38	5	0.857913423631772
DLPFC	All_VMRs	Quies	0.677754696412502	0.557071475416287	0.82127134055704	3.9730275708625e-05	4233	684	1300	158	0.000112917625698197
DLPFC	All_VMRs	BroadRepressive	0.788927962088742	0.665999739242961	0.933441078040342	0.00537038288879056	4233	684	1890	266	0.0116000270397876
DLPFC	All_VMRs	Bivalent	1.31787539708055	0.829318444820407	2.0272640448742	0.195287740896013	4233	684	128	27	0.319561757829839
DLPFC	Intergenic_VMRs	H3K27me3	1.40515814280955	0.904286493844585	2.17433804466172	0.127735806997836	707	104	255	46	0.222507534770424
DLPFC	Intergenic_VMRs	H3K9me3	1.46298437101931	0.746107031652668	2.71342553970261	0.235572300684437	707	104	73	15	0.344780440646014
DLPFC	Intergenic_VMRs	H3K27me3_broad	1.0850572557171	0.690202555168341	1.73005322230243	0.742823054303884	707	104	456	69	0.802248898648194
DLPFC	Intergenic_VMRs	H3K9me3_broad	0.979243133092363	0.632960375960766	1.51050856673369	1	707	104	330	48	1
DLPFC	Intergenic_VMRs	Polycomb	1.53476870085347	0.964045956050365	2.41544795106087	0.0600126822426928	707	104	187	37	0.115738744325193
DLPFC	Intergenic_VMRs	Het	1.36607545500266	0.143598521397874	6.5439349447507	0.658700485756586	707	104	10	2	0.748909916219935
DLPFC	Intergenic_VMRs	Quies	0.532163259461279	0.339437321607031	0.826322833136445	0.00321979087469383	707	104	382	40	0.00724452946806112
DLPFC	Intergenic_VMRs	BroadRepressive	0.734454068588062	0.446104554209385	1.23991783339735	0.239642906638832	707	104	568	78	0.344780440646014
DLPFC	Intergenic_VMRs	Bivalent	2.35394530942302	0.82314343248554	5.94163205317794	0.0756602169010665	707	104	21	7	0.140884541815779
Hippocampus	All_VMRs	H3K27me3	1.04078754432698	0.857890773070385	1.25862800614385	0.665697703306609	4288	634	1143	174	0.748909916219935
Hippocampus	All_VMRs	H3K9me3	0.530816546279999	0.324485663069514	0.828521195275178	0.00300439209818296	4288	634	272	22	0.00705379014356
Hippocampus	All_VMRs	H3K27me3_broad	0.917396178452916	0.772627530744493	1.08851274649882	0.326530724128554	4288	634	1999	282	0.430064856169315
Hippocampus	All_VMRs	H3K9me3_broad	0.574813855643641	0.443611124343958	0.737224962982489	3.97789609181569e-06	4288	634	861	80	1.43204259305365e-05
Hippocampus	All_VMRs	Polycomb	0.883418846441188	0.696245688051646	1.11259268269873	0.310941056392291	4288	634	750	100	0.419770426129593
Hippocampus	All_VMRs	Het	0.0810485500730421	0.00202789943564633	0.466202241565727	0.000205883584038181	4288	634	82	1	0.000555885676903089
Hippocampus	All_VMRs	Quies	0.40451829460057	0.320903163913076	0.506058315796374	7.02716409099732e-18	4288	634	1379	102	3.79466860913855e-17
Hippocampus	All_VMRs	BroadRepressive	0.47789044730629	0.397983843553848	0.572453440583423	5.99838629182532e-17	4288	634	2113	201	2.94466236144152e-16
Hippocampus	All_VMRs	Bivalent	1.37198620465885	0.982896626039535	1.88486636968667	0.0529012477169362	4288	634	257	51	0.105802495433872
Hippocampus	Intergenic_VMRs	H3K27me3	1.13908543317669	0.739354344873197	1.73619376241798	0.529804105431218	960	114	317	41	0.635764926517461
Hippocampus	Intergenic_VMRs	H3K9me3	0.583443687688267	0.238962566356984	1.23658176245269	0.203323330672474	960	114	110	8	0.322925289891577
Hippocampus	Intergenic_VMRs	H3K27me3_broad	0.821412964567884	0.546194358149565	1.23755733540651	0.367944646015316	960	114	552	60	0.462070020577374
Hippocampus	Intergenic_VMRs	H3K9me3_broad	0.578170752730506	0.348077374499892	0.931109507131737	0.0190552193626804	960	114	314	25	0.0395762248301823
Hippocampus	Intergenic_VMRs	Polycomb	0.904268633246627	0.558185404065994	1.43068764327734	0.73861483539339	960	114	263	29	0.802248898648194
Hippocampus	Intergenic_VMRs	Het	0.265402366275595	0.00645410983658993	1.62518409680194	0.242623273047195	960	114	31	1	0.344780440646014
Hippocampus	Intergenic_VMRs	Quies	0.409682159602148	0.260493740959318	0.632902497951903	1.78677563202718e-05	960	114	489	34	5.36032689608154e-05
Hippocampus	Intergenic_VMRs	BroadRepressive	0.378716620336915	0.249289764078713	0.577495929217091	3.41159472575658e-06	960	114	741	64	1.31590082279183e-05
Hippocampus	Intergenic_VMRs	Bivalent	1.52702825494987	0.642221696289571	3.24897209870305	0.277265884558754	960	114	51	9	0.383906609389045
