tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
DLPFC	Intergenic_VMRs	LTR	0.478890986590143	0.239379519256609	0.888344261554934	0.0152051395506251	715	105	163	13	0.0331748499286366
DLPFC	All_VMRs	DNA	1.02130742183299	0.761135246973868	1.35306965117293	0.886669873101882	4264	690	388	64	1
DLPFC	Intergenic_VMRs	DNA	1.00511678648107	0.424788616044445	2.12343749229592	1	715	105	61	9	1
DLPFC	All_VMRs	Satellite	0.227798750037171	0.0055584191452131	1.38678113062671	0.166444551911823	4264	690	27	1	0.275494430750603
DLPFC	Intergenic_VMRs	Satellite	0	0	10.3747324091947	1	715	105	4	0	1
DLPFC	All_VMRs	Simple_repeat	1.08186462610561	0.859492263200209	1.35305195656529	0.491206322198227	4264	690	636	110	0.654941762930969
DLPFC	Intergenic_VMRs	Simple_repeat	0.822270214440091	0.39507971484108	1.57886065480952	0.645143155601723	715	105	97	12	0.805176282645347
DLPFC	All_VMRs	Low_complexity	0.99964544071973	0.601898375302022	1.58977305990622	1	4264	690	136	22	1
DLPFC	Intergenic_VMRs	Low_complexity	1.20730496719248	0.222813702082523	4.28123994559502	0.733348586089518	715	105	17	3	0.880018303307421
DLPFC	All_VMRs	L1	0.711677095856188	0.515351616996961	0.965828089721439	0.0264642208994059	4264	690	430	51	0.0564570045853992
DLPFC	Intergenic_VMRs	L1	0.424738242842821	0.161812051368216	0.944501556984297	0.0309884789095207	715	105	103	7	0.0646716081589997
DLPFC	All_VMRs	Alu	0.47906585201408	0.374414383081907	0.607287555963353	6.20038675574011e-11	4264	690	997	88	3.13282699237395e-10
DLPFC	Intergenic_VMRs	Alu	0.34305869314538	0.161920787824882	0.660990722345802	0.000492091339883464	715	105	182	11	0.00131224357302257
DLPFC	All_VMRs	MIR	1.11876300667242	0.87978325216918	1.4123382032763	0.334672347374349	4264	690	561	100	0.472478608057904
DLPFC	Intergenic_VMRs	MIR	0.903456211899455	0.418417437894321	1.7841059056166	0.869885672426388	715	105	82	11	1
DLPFC	All_VMRs	ERV1	0.408019778582441	0.217868092725737	0.70579268718402	0.000445364281088089	4264	690	206	14	0.00125599477915123
DLPFC	Intergenic_VMRs	ERV1	0.397202994388491	0.122552538608477	1.00114768849813	0.0405348605197849	715	105	80	5	0.0827946087212628
DLPFC	All_VMRs	ERVL	0.845078947412588	0.443567601282704	1.4947915045577	0.683612948615647	4264	690	102	14	0.839541491119117
DLPFC	Intergenic_VMRs	ERVL	0.356124692766093	0.0409755227681151	1.41712992739809	0.215496829551787	715	105	37	2	0.339142551425763
DLPFC	All_VMRs	ERVL_MaLR	0.716405990577297	0.429550190634685	1.13888484947646	0.175022921281274	4264	690	179	21	0.280036674050039
DLPFC	Intergenic_VMRs	ERVL_MaLR	0.556267141063227	0.170115189851303	1.42130184098463	0.247661591856455	715	105	59	5	0.377389092352694
DLPFC	All_VMRs	ERVK	0.236615517938858	0.00576559653419234	1.44518575671846	0.16417809029197	4264	690	26	1	0.275494430750603
DLPFC	Intergenic_VMRs	ERVK	0	0	7.47481511975486	1	715	105	5	0	1
DLPFC	All_VMRs	SVA	0.882525751914163	0.0971378391677865	3.85540727939961	1	4264	690	14	2	1
DLPFC	Intergenic_VMRs	SVA	0	0	16.5586110290963	1	715	105	3	0	1
Hippocampus	All_VMRs	any_repeat	0.585726272914937	0.492635983112877	0.696855651336997	9.98053072789588e-10	4327	638	3009	365	4.5625283327524e-09
Hippocampus	Intergenic_VMRs	any_repeat	0.516383738796931	0.33944763241267	0.792239502503778	0.00156845628786308	976	116	742	72	0.00406950820634746
Hippocampus	All_VMRs	LINE	0.683352822461627	0.544770726465917	0.85148290611774	0.000457914763232219	4327	638	1011	110	0.00125599477915123
Hippocampus	Intergenic_VMRs	LINE	0.384390411508097	0.207802156813965	0.669654831411987	0.000260502698775037	976	116	287	16	0.000781508096325111
Hippocampus	All_VMRs	SINE	0.610880336123102	0.506107398524634	0.735125700266505	7.18239628642535e-08	4327	638	1710	182	2.99786975433406e-07
Hippocampus	Intergenic_VMRs	SINE	0.811111723959526	0.528560261856113	1.23065908161394	0.317582132994754	976	116	393	41	0.45504305623129
Hippocampus	All_VMRs	LTR	0.563558215161546	0.421171829938613	0.743429168257448	1.5662570279911e-05	4327	638	694	62	5.3700240959695e-05
Hippocampus	Intergenic_VMRs	LTR	0.473159032338648	0.259893710661711	0.815378131695851	0.00458208872309578	976	116	260	17	0.0104733456527904
Hippocampus	All_VMRs	DNA	0.823416266930858	0.595383946582897	1.11933335883595	0.243369785019318	4327	638	413	51	0.376830634868621
Hippocampus	Intergenic_VMRs	DNA	0.608207863992594	0.24901537536221	1.28969635520662	0.259003379017523	976	116	106	8	0.388505068526285
Hippocampus	All_VMRs	Satellite	0.654760066635221	0.127714789178971	2.10850664416887	0.614002447960526	4327	638	31	3	0.785923133389474
Hippocampus	Intergenic_VMRs	Satellite	0	0	3.76940818290611	0.611703858634126	976	116	10	0	0.785923133389474
Hippocampus	All_VMRs	Simple_repeat	0.811827331542248	0.6376903128262	1.0253049658161	0.0837391464139887	4327	638	775	96	0.157626628543979
Hippocampus	Intergenic_VMRs	Simple_repeat	0.890439692995567	0.500383158537071	1.51392552046208	0.797498594963419	976	116	176	19	0.933656891664491
Hippocampus	All_VMRs	Low_complexity	0.94127837070959	0.561679070706784	1.50538217181401	0.907691161068779	4327	638	151	21	1
Hippocampus	Intergenic_VMRs	Low_complexity	2.1616198645202	0.707096919600576	5.58377483606903	0.122064821222135	976	116	24	6	0.221098544100471
Hippocampus	All_VMRs	L1	0.572142657838818	0.421361773279333	0.764510466919021	7.33546615072078e-05	4327	638	623	56	0.000234734916823065
Hippocampus	Intergenic_VMRs	L1	0.391868635259707	0.186246629201476	0.748146575715314	0.00200503990939215	976	116	206	11	0.00506536398162228
Hippocampus	All_VMRs	Alu	0.502819709538365	0.403705277660802	0.622320563666262	2.05522468585095e-11	4327	638	1336	117	1.09611983245384e-10
Hippocampus	Intergenic_VMRs	Alu	0.702974976205888	0.435486979412787	1.10754191314352	0.138204142376749	976	116	314	29	0.241229048512143
Hippocampus	All_VMRs	MIR	0.985135507931008	0.754286262992837	1.27366092172828	0.948691361853077	4327	638	536	78	1
Hippocampus	Intergenic_VMRs	MIR	1.14549841202499	0.596955732361022	2.06787920334171	0.645818476705122	976	116	112	15	0.805176282645347
Hippocampus	All_VMRs	ERV1	0.467719980339049	0.28641493084133	0.728358450154872	0.000312661046638277	4327	638	307	22	0.00090955940840226
Hippocampus	Intergenic_VMRs	ERV1	0.434109290155442	0.152251587077498	1.00932270877949	0.0533894641613411	976	116	109	6	0.106778928322682
Hippocampus	All_VMRs	ERVL	0.757117530402122	0.42665239556385	1.26403041357537	0.34729160498514	4327	638	151	17	0.483188319979325
Hippocampus	Intergenic_VMRs	ERVL	0.76464751334816	0.264543783538149	1.81404918617303	0.690872685400106	976	116	65	6	0.839541491119117
Hippocampus	All_VMRs	ERVL_MaLR	0.509463599549357	0.307785825700886	0.802460042841787	0.00207559675820709	4327	638	271	21	0.00510916125097131
Hippocampus	Intergenic_VMRs	ERVL_MaLR	0.452728452520116	0.158662131048705	1.05375091425713	0.0720952454904543	976	116	105	6	0.138422871341672
Hippocampus	All_VMRs	ERVK	0.643732583258195	0.167115547300454	1.78318137583653	0.510170282160088	4327	638	42	4	0.670908864210526
Hippocampus	Intergenic_VMRs	ERVK	0.597747126053378	0.0140140251440629	3.99833061361685	1	976	116	14	1	1
Hippocampus	All_VMRs	SVA	1.81339889361325	0.436700044984756	5.7155479278949	0.293836678523716	4327	638	15	4	0.427398805125405
Hippocampus	Intergenic_VMRs	SVA	0	0	9.23736913042001	1	976	116	5	0	1
