Tissue	h2_Category	OR	PValue	FDR	Test	Env
Hippocampus	Heritable	1.6773452835080183	0.0893936766852127	0.15526270161115888	Both	more_than_hs
Hippocampus	Heritable	1.5672218199372436	0.10422069600637376	0.16377537943858736	Both	single
Hippocampus	Heritable	1.35652383245065	0.28254162145224404	0.3586105195355405	Both	previously_married
Hippocampus	Non-heritable	0.746727476045344	0.01692724053104161	0.07979984821776759	Logit	smoking
Hippocampus	Non-heritable	0.8550779502357435	0.5317105423766985	0.5660144483364854	Logit	codeine
Hippocampus	Non-heritable	0.5796326754385965	0.12065958051486518	0.16590692320793962	Logit	morphine
Hippocampus	Non-heritable	0.40384176926584586	0.05213357769037971	0.11547769277522751	Logit	cocaine
Hippocampus	Non-heritable	0.5127829641832937	0.04037318750741742	0.11547769277522751	Logit	ethanol
Hippocampus	Non-heritable	1.1205560704355886	0.25404089336946717	0.29940533861401486	Logit	nicotine
Hippocampus	Non-heritable	1.8051000245193487	1.3942642375315747e-07	1.5336906612847322e-06	Logit	amphetamines
Hippocampus	Non-heritable	0.5331390191357243	0.05172478146573055	0.11547769277522751	Logit	less_than_hs
Hippocampus	Non-heritable	0.5693648816936488	0.0654662716788772	0.12229119043667644	Logit	more_than_hs
Hippocampus	Non-heritable	0.5870445751042765	0.06403041703795381	0.12229119043667644	Logit	single
Hippocampus	Non-heritable	0.695514950166113	0.22930330442476946	0.2802595942969404	Logit	previously_married
Hippocampus	Non-heritable	0.7366572965401862	0.012328514613479129	0.07979984821776759	DMR	smoking
Hippocampus	Non-heritable	0.9424495059575705	0.9150520316635862	0.9150520316635862	DMR	codeine
Hippocampus	Non-heritable	0.49554304480412853	0.05019937371039723	0.11547769277522751	DMR	morphine
Hippocampus	Non-heritable	0.38553013798111835	0.02778861429041503	0.10991508006822422	DMR	cocaine
Hippocampus	Non-heritable	0.5207417225105597	0.05248986035237614	0.11547769277522751	DMR	ethanol
Hippocampus	Non-heritable	1.132569436258848	0.19761544159695388	0.26085238290797913	DMR	nicotine
Hippocampus	Non-heritable	1.8409223456682122	4.6778338733960566e-08	1.3800797711101938e-06	DMR	amphetamines
Hippocampus	Non-heritable	0.4354628085282443	0.016886394531178576	0.07979984821776759	DMR	less_than_hs
Hippocampus	Non-heritable	0.6222425211235442	0.11141478500960605	0.16590692320793962	DMR	more_than_hs
Hippocampus	Non-heritable	0.6022063595068138	0.07940694677632266	0.13527586291891414	DMR	single
Hippocampus	Non-heritable	0.8133219178082192	0.4713786481179437	0.5185165129297381	DMR	previously_married
Hippocampus	Non-heritable	0.7429346899124205	0.01611141818023132	0.07979984821776759	Both	smoking
Hippocampus	Non-heritable	0.913483393210646	0.7482784324650671	0.7716621334796004	Both	codeine
Hippocampus	Non-heritable	0.5399907535829865	0.10829195492343457	0.16590692320793962	Both	morphine
Hippocampus	Non-heritable	0.4187337585636664	0.050579763565939684	0.11547769277522751	Both	cocaine
Hippocampus	Non-heritable	0.5373995887769306	0.0667042856927326	0.12229119043667644	Both	ethanol
Hippocampus	Non-heritable	1.1322332994348399	0.21307558567163398	0.27044208950630466	Both	nicotine
Hippocampus	Non-heritable	1.8244236509128198	8.364119824910265e-08	1.3800797711101938e-06	Both	amphetamines
Hippocampus	Non-heritable	0.453848017443269	0.029976840018606603	0.10991508006822422	Both	less_than_hs
Hippocampus	Non-heritable	0.5902584842623527	0.08198537146600857	0.13527586291891414	Both	more_than_hs
Hippocampus	Non-heritable	0.6392380204241949	0.12030261236703506	0.16590692320793962	Both	single
Hippocampus	Non-heritable	0.7414999646568177	0.32439540989367066	0.3691396043617632	Both	previously_married
Hippocampus	Low prediction	1.8573332825532238	0.07043988259876952	0.6696713885626794	Logit	smoking
Hippocampus	Low prediction	2.2293447293447293	0.12175843428412353	0.6696713885626794	Logit	codeine
Hippocampus	Low prediction	2.034358430540827	0.2699949875523311	0.8391933059348576	Logit	morphine
Hippocampus	Low prediction	1.2753968253968253	0.5509594587608001	1.0	Logit	cocaine
Hippocampus	Low prediction	0.0	0.6373916485849825	1.0	Logit	ethanol
Hippocampus	Low prediction	0.6781444726517425	0.38044351839097534	1.0	Logit	nicotine
Hippocampus	Low prediction	1.1716738197424892	0.6617973729205489	1.0	Logit	amphetamines
Hippocampus	Low prediction	0.8174032202809182	1.0	1.0	Logit	less_than_hs
Hippocampus	Low prediction	0.7209584470730968	1.0	1.0	Logit	more_than_hs
Hippocampus	Low prediction	0.6330925628678438	1.0	1.0	Logit	single
Hippocampus	Low prediction	0.6891695702671312	1.0	1.0	Logit	previously_married
Hippocampus	Low prediction	1.8599862731640358	0.07012048707471852	0.6696713885626794	DMR	smoking
Hippocampus	Low prediction	2.3307320698625045	0.10872024346732885	0.6696713885626794	DMR	codeine
Hippocampus	Low prediction	1.9813972715998347	0.2797311019782859	0.8391933059348576	DMR	morphine
Hippocampus	Low prediction	1.220111448834853	0.5666369842897562	1.0	DMR	cocaine
Hippocampus	Low prediction	0.0	0.6360659406175793	1.0	DMR	ethanol
Hippocampus	Low prediction	0.5768937354155448	0.21751792190199662	0.8391933059348576	DMR	nicotine
Hippocampus	Low prediction	1.1795363709032773	0.6604376047500576	1.0	DMR	amphetamines
Hippocampus	Low prediction	0.8487917555081734	1.0	1.0	DMR	less_than_hs
Hippocampus	Low prediction	0.7209584470730968	1.0	1.0	DMR	more_than_hs
Hippocampus	Low prediction	0.6481937602627258	1.0	1.0	DMR	single
Hippocampus	Low prediction	0.6979717813051146	1.0	1.0	DMR	previously_married
Hippocampus	Low prediction	1.9005473390008152	0.065700630396328	0.6696713885626794	Both	smoking
Hippocampus	Low prediction	2.3665158371040724	0.10452641597810575	0.6696713885626794	Both	codeine
Hippocampus	Low prediction	2.1490266278809576	0.2505358557114665	0.8391933059348576	Both	morphine
Hippocampus	Low prediction	1.3201970443349753	0.5388391099661205	1.0	Both	cocaine
