cohort	tissue	population	vmr_set	feature_type	bin_type	h2_bin	n_vmrs	median_distance	q25_distance	q75_distance	prop_within_10kb	prop_within_100kb
Replication	caudate	WA	shared	gene	h2_quintile	Q2	1439	0	0	0	0.955524669909659	0.998610145934677
Replication	caudate	WA	shared	gene	h2_quintile	Q3	1438	0	0	0	0.956884561891516	0.995132127955494
Replication	caudate	WA	shared	gene	h2_quintile	Q4	1439	0	0	0	0.922168172341904	0.993050729673384
Replication	caudate	WA	shared	gene	h2_quintile	Q5	1439	0	0	3125.5	0.824878387769284	0.984016678248784
Replication	caudate	WA	shared	gene	h2_tertile	T1	2398	0	0	0	0.964553794829024	0.999165971643036
Replication	caudate	WA	shared	gene	h2_tertile	T2	2398	0	0	0	0.952877397831526	0.996663886572143
Replication	caudate	WA	shared	gene	h2_tertile	T3	2398	0	0	706	0.859883236030025	0.986655546288574
Replication	caudate	WA	shared	psi	h2_quintile	Q1	1439	0	0	7416.5	0.782487838776928	0.984016678248784
Replication	caudate	WA	shared	psi	h2_quintile	Q2	1439	44	0	9490.5	0.755385684503127	0.981931897150799
Replication	caudate	WA	shared	psi	h2_quintile	Q3	1438	66	0	10210.25	0.746870653685675	0.972183588317107
Replication	caudate	WA	shared	psi	h2_quintile	Q4	1439	259	0	13517	0.719944405837387	0.959694232105629
Replication	caudate	WA	shared	psi	h2_quintile	Q5	1439	8726	0	47261	0.515635858234885	0.866574009728979
Replication	caudate	WA	shared	psi	h2_tertile	T1	2398	17	0	7967.25	0.776480400333611	0.982485404503753
Replication	caudate	WA	shared	psi	h2_tertile	T2	2398	43.5	0	10271.5	0.746872393661385	0.974979149291076
Replication	caudate	WA	shared	psi	h2_tertile	T3	2398	3658	0	33285.5	0.588824020016681	0.90116763969975
Replication	dlpfc	BA	shared	gene	h2_quintile	Q1	991	0	0	0	0.955600403632694	0.997981836528759
Replication	dlpfc	BA	shared	gene	h2_quintile	Q2	991	0	0	0	0.963673057517659	1
Replication	dlpfc	BA	shared	gene	h2_quintile	Q3	990	0	0	0	0.955555555555556	1
Replication	dlpfc	BA	shared	gene	h2_quintile	Q4	991	0	0	0	0.966700302724521	1
Replication	dlpfc	BA	shared	gene	h2_quintile	Q5	991	0	0	0	0.936427850655903	0.992936427850656
Replication	dlpfc	BA	shared	gene	h2_tertile	T1	1652	0	0	0	0.958837772397094	0.998789346246973
Replication	dlpfc	BA	shared	gene	h2_tertile	T2	1651	0	0	0	0.958207147183525	1
Replication	dlpfc	BA	shared	gene	h2_tertile	T3	1651	0	0	0	0.949727437916414	0.995760145366445
Replication	dlpfc	BA	shared	psi	h2_quintile	Q1	991	211	0	10166	0.747729566094854	0.972754793138244
Replication	dlpfc	BA	shared	psi	h2_quintile	Q2	991	35	0	9782.5	0.754793138244198	0.976791120080727
Replication	dlpfc	BA	shared	psi	h2_quintile	Q3	990	0	0	10436	0.744444444444445	0.968686868686869
Replication	dlpfc	BA	shared	psi	h2_quintile	Q4	991	0	0	9972.5	0.749747729566095	0.973763874873865
Replication	dlpfc	BA	shared	psi	h2_quintile	Q5	991	154	0	11903	0.725529767911201	0.970736629667003
Replication	dlpfc	BA	shared	psi	h2_tertile	T1	1652	83	0	9910.5	0.751210653753027	0.975786924939467
Replication	dlpfc	BA	shared	psi	h2_tertile	T2	1651	21	0	10986.5	0.737734706238643	0.969109630526953
Replication	dlpfc	BA	shared	psi	h2_tertile	T3	1651	0	0	10397.5	0.744397334948516	0.972743791641429
Replication	dlpfc	WA	shared	gene	h2_quintile	Q1	991	0	0	0	0.961654894046418	0.998990918264379
Replication	dlpfc	WA	shared	gene	h2_quintile	Q2	991	0	0	0	0.964682139253279	1
Replication	dlpfc	WA	shared	gene	h2_quintile	Q3	990	0	0	0	0.964646464646465	1
Replication	dlpfc	WA	shared	gene	h2_quintile	Q4	991	0	0	0	0.94752774974773	0.998990918264379
Replication	dlpfc	WA	shared	gene	h2_quintile	Q5	991	0	0	0	0.939455095862765	0.992936427850656
Replication	dlpfc	WA	shared	gene	h2_tertile	T1	1652	0	0	0	0.962469733656174	0.999394673123487
Replication	dlpfc	WA	shared	gene	h2_tertile	T2	1651	0	0	0	0.961235614778922	1
Replication	dlpfc	WA	shared	gene	h2_tertile	T3	1651	0	0	0	0.943064809206541	0.995154451847365
Replication	dlpfc	WA	shared	psi	h2_quintile	Q1	991	0	0	9287	0.760847628657921	0.975782038345106
Replication	dlpfc	WA	shared	psi	h2_quintile	Q2	991	0	0	8752.5	0.761856710393542	0.976791120080727
Replication	dlpfc	WA	shared	psi	h2_quintile	Q3	990	0	0	11252.5	0.74040404040404	0.968686868686869
Replication	dlpfc	WA	shared	psi	h2_quintile	Q4	991	15	0	11426	0.730575176589304	0.974772956609485
Replication	dlpfc	WA	shared	psi	h2_quintile	Q5	991	367	0	11549	0.728557013118063	0.966700302724521
Replication	dlpfc	WA	shared	psi	h2_tertile	T1	1652	0	0	9001.25	0.765133171912833	0.976392251815981
Replication	dlpfc	WA	shared	psi	h2_tertile	T2	1651	0	0	10784.5	0.740157480314961	0.972743791641429
Replication	dlpfc	WA	shared	psi	h2_tertile	T3	1651	250	0	11610.5	0.728043609933374	0.968503937007874
Replication	hippocampus	BA	shared	gene	h2_quintile	Q1	993	0	0	0	0.958710976837865	0.997985901309164
Replication	hippocampus	BA	shared	gene	h2_quintile	Q2	993	0	0	0	0.954682779456193	0.998992950654582
Replication	hippocampus	BA	shared	gene	h2_quintile	Q3	993	0	0	0	0.956696878147029	1
Replication	hippocampus	BA	shared	gene	h2_quintile	Q4	993	0	0	0	0.95166163141994	1
Replication	hippocampus	BA	shared	gene	h2_quintile	Q5	993	0	0	229	0.880161127895267	0.987915407854985
Replication	hippocampus	BA	shared	gene	h2_tertile	T1	1655	0	0	0	0.959516616314199	0.998187311178248
Replication	hippocampus	BA	shared	gene	h2_tertile	T2	1655	0	0	0	0.952870090634441	1
Replication	hippocampus	BA	shared	gene	h2_tertile	T3	1655	0	0	0	0.908761329305136	0.992749244712991
Replication	hippocampus	BA	shared	psi	h2_quintile	Q1	993	0	0	8390	0.764350453172205	0.971802618328298
Replication	hippocampus	BA	shared	psi	h2_quintile	Q2	993	0	0	11252	0.735146022155086	0.967774420946626
Replication	hippocampus	BA	shared	psi	h2_quintile	Q3	993	240	0	11583	0.73313192346425	0.972809667673716
Replication	hippocampus	BA	shared	psi	h2_quintile	Q4	993	111	0	12126	0.727089627391742	0.976837865055388
Replication	hippocampus	BA	shared	psi	h2_quintile	Q5	993	1455	0	22766	0.632426988922457	0.933534743202417
Replication	hippocampus	BA	shared	psi	h2_tertile	T1	1655	0	0	9710	0.752870090634441	0.970996978851964
Replication	hippocampus	BA	shared	psi	h2_tertile	T2	1655	125	0	11451	0.734138972809668	0.973413897280967
Replication	hippocampus	BA	shared	psi	h2_tertile	T3	1655	670	0	18258.5	0.668277945619335	0.949244712990937
Replication	hippocampus	WA	shared	gene	h2_quintile	Q1	993	0	0	0	0.958710976837865	0.998992950654582
Replication	hippocampus	WA	shared	gene	h2_quintile	Q2	993	0	0	0	0.953675730110776	0.998992950654582
Replication	hippocampus	WA	shared	gene	h2_quintile	Q3	993	0	0	0	0.955689828801611	0.998992950654582
Replication	hippocampus	WA	shared	gene	h2_quintile	Q4	993	0	0	0	0.931520644511581	0.995971802618328
Replication	hippocampus	WA	shared	gene	h2_quintile	Q5	993	0	0	0	0.902316213494461	0.991943605236657
Replication	hippocampus	WA	shared	gene	h2_tertile	T1	1655	0	0	0	0.956495468277946	0.999395770392749
Replication	hippocampus	WA	shared	gene	h2_tertile	T2	1655	0	0	0	0.95226586102719	0.998187311178248
Replication	hippocampus	WA	shared	gene	h2_tertile	T3	1655	0	0	0	0.91238670694864	0.993353474320242
Replication	hippocampus	WA	shared	psi	h2_quintile	Q1	993	0	0	9898	0.75226586102719	0.972809667673716
Replication	hippocampus	WA	shared	psi	h2_quintile	Q2	993	0	0	11102	0.739174219536757	0.973816717019134
Replication	hippocampus	WA	shared	psi	h2_quintile	Q3	993	408	0	13106	0.719033232628399	0.965760322255791
Replication	hippocampus	WA	shared	psi	h2_quintile	Q4	993	80	0	12328	0.725075528700906	0.964753272910373
Replication	hippocampus	WA	shared	psi	h2_quintile	Q5	993	1051	0	19486	0.656596173212487	0.945619335347432
Replication	hippocampus	WA	shared	psi	h2_tertile	T1	1655	0	0	10436	0.747432024169184	0.972809667673716
Replication	hippocampus	WA	shared	psi	h2_tertile	T2	1655	151	0	12011.5	0.728700906344411	0.969184290030211
Replication	hippocampus	WA	shared	psi	h2_tertile	T3	1655	641	0	17818	0.679154078549849	0.95166163141994
