tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
DLPFC	Intergenic_VMRs	H3K9me3_broad	0.72777045089496	0.603998061555291	0.876393898653966	0.000650214011961118	1161	818	540	317	0.00113263085954517
DLPFC	Intergenic_VMRs	Polycomb	1.00441393482793	0.812119931137129	1.2410072353026	1	1161	818	290	205	1
DLPFC	Intergenic_VMRs	Het	0.849463982962148	0.37633548213835	1.8365170989516	0.720126227083022	1161	818	20	12	0.747823389663138
DLPFC	Intergenic_VMRs	Quies	0.73523912302992	0.611802687177642	0.883269148548429	0.000847088360707302	1161	818	644	391	0.00138614459024831
DLPFC	Intergenic_VMRs	BroadRepressive	0.620800645642606	0.500388218447443	0.769928217973524	9.21270361098909e-06	1161	818	932	586	2.07285831247255e-05
DLPFC	Intergenic_VMRs	Bivalent	1.30114658281363	0.759676221352797	2.22080323363018	0.302050820180585	1161	818	33	30	0.379319634645386
Hippocampus	All_VMRs	H3K27me3	0.933030275447795	0.851500146869438	1.02221146144402	0.135073854455537	5347	4368	1472	1143	0.177902149770707
Hippocampus	All_VMRs	H3K9me3	0.668546753143939	0.551400191337057	0.808570785075726	2.18766195248848e-05	5347	4368	323	180	4.54360559362992e-05
Hippocampus	All_VMRs	H3K27me3_broad	0.867842966784197	0.800019311666673	0.941322093316585	0.000572167372484293	5347	4368	2485	1877	0.00106541510738455
Hippocampus	All_VMRs	H3K9me3_broad	0.67146174957959	0.60076287952227	0.750070762913632	5.96660120887639e-13	5347	4368	1033	605	2.30140332342375e-12
Hippocampus	All_VMRs	Polycomb	0.79590677683946	0.712022477627281	0.889277821373027	4.27337610743219e-05	5347	4368	943	636	8.24151106433351e-05
Hippocampus	All_VMRs	Het	0.355316248501623	0.221916246146813	0.551975373167211	5.82612284348265e-07	5347	4368	92	27	1.57305316774032e-06
Hippocampus	All_VMRs	Quies	0.580106389883905	0.526787253206898	0.638562092809884	6.19588576349301e-30	5347	4368	1582	856	4.18222289035778e-29
Hippocampus	All_VMRs	BroadRepressive	0.578173209209866	0.531897927596802	0.628377844815138	2.85878759346274e-39	5347	4368	2522	1487	2.57290883411646e-38
Hippocampus	All_VMRs	Bivalent	1.08730709961954	0.917826779954364	1.2876054938654	0.329654808071067	5347	4368	318	281	0.404576355359946
Hippocampus	Intergenic_VMRs	H3K27me3	1.04466143869105	0.862179439140752	1.26511740395	0.666888333158197	1223	779	432	283	0.716995438982557
Hippocampus	Intergenic_VMRs	H3K9me3	0.706737664984486	0.501155622932499	0.987348188593415	0.0385455397867581	1223	779	125	58	0.0547752407496037
Hippocampus	Intergenic_VMRs	H3K27me3_broad	0.924060290676159	0.76670152364241	1.11403834521677	0.40154136518789	1223	779	733	452	0.471374646090132
Hippocampus	Intergenic_VMRs	H3K9me3_broad	0.695380083673923	0.560324688694485	0.861057850244791	0.000718541041113345	1223	779	356	173	0.00121253800687877
Hippocampus	Intergenic_VMRs	Polycomb	0.971391809692381	0.787055870790435	1.19741059936897	0.794738728204689	1223	779	324	202	0.809733798548174
Hippocampus	Intergenic_VMRs	Het	0.56433163145565	0.263668722143599	1.12967824570204	0.0914985632893595	1223	779	33	12	0.123523060440635
Hippocampus	Intergenic_VMRs	Quies	0.608184732615032	0.502910928361701	0.734707362792159	1.20800062817235e-07	1223	779	575	273	3.83717846595923e-07
Hippocampus	Intergenic_VMRs	BroadRepressive	0.558253628255789	0.458773923281567	0.679167476131715	3.10867764324457e-09	1223	779	896	471	1.11912395156804e-08
Hippocampus	Intergenic_VMRs	Bivalent	1.51859027744413	1.00704645713702	2.28746121269325	0.0411667253442808	1223	779	55	52	0.0570000812459272
